;SW:3Q0-907-530-AD   HW:3Q0-907-530-D ---  CAN Gateway
;Component:GW MQB EV     621 6383, Coding:0201001704F81000FB001290081F00000001070100070000000300000000
IDE10748-MAS11265-Range gain-Range gain seat heater front,activated ,3
IDE10748-MAS11266-Range gain-Range gain front set ventilation,activated ,3
IDE10748-MAS11267-Range gain-Range gain rear heater,activated ,3
IDE10748-MAS11268-Range gain-Range gain fog light,activated ,3
IDE10748-MAS11269-Range gain-Range gain rear fog light,not activated ,3
IDE10748-MAS11270-Range gain-Range gain windshield heating,activated ,3
IDE10748-MAS11271-Range gain-Range gain steering wheel heater,activated ,3
IDE10748-MAS11272-Range gain-Range gain mirror heater,activated ,3
IDE10748-MAS11273-Range gain-Range gain rear seat heater,activated ,3
IDE10748-MAS11274-Range gain-Range gain rear seat heater,activated ,3
IDE10748-MAS11275-Range gain-Windshield heater consumption in AC system,not activated ,3
IDE10748-MAS11276-Range gain-Windshield heater range gain in AC system,not activated ,3
IDE10748-MAS11277-Range gain-PTC(low voltage) consumption,not activated ,3
IDE10748-MAS11278-Range gain-PTC(low voltage) range gain,not activated ,3
IDE10748-MAS11279-Range gain-List at engine still stand,activated ,3
IDE10748-MAS12689-Range gain-Catalogue range display,activated ,3
IDE10748-MAS12690-Range gain-Loading condition catalogue range display,activated ,3
IDE10748-MAS13161-Range gain-List display absolute values ??with weighting,activated ,3
IDE10748-MAS19099-Range gain-Convenience consumption socket,activated ,3
IDE10748-MAS19100-Range gain-A/C System blower manual convenience consumption,not activated ,3
IDE10748-MAS19132-Range gain-Outer mirror heater consumption in rear window heating,not activated ,3
IDE12132-Dynamic reserve capacity,10 W,1
IDE13756-Diagnosis filter: activation,not active ,1
IDE13757-MAS16868-Diagnosis filter: kilometer thresholds-Kilometer threshold: production,200 km,2
IDE13757-MAS16869-Diagnosis filter: kilometer thresholds-Kilometer threshold: customer service,20 km,2
MAS16372-Security version number,3 ,2
SFT271921-IDE02583-Multifunction steering wheel control module-Steering wheel Tiptronic switch,not installed ,3
SFT271921-MAS02311-Multifunction steering wheel control module-Steering wheel heating button,not active ,3
SFT271921-MAS04733-Multifunction steering wheel control module-Two-stage,Unknown (3),3
SFT271921-MAS06614-Multifunction steering wheel control module-Variant,ACC ,3
SFT271921-MAS09758-Multifunction steering wheel control module-Temperature sensor,not installed ,3
SFT271921-MAS13892-Multifunction steering wheel control module-Platform,Unknown (3),3
SFT271921-MAS19104-Multifunction steering wheel control module-Alarm horn wake-up function,active ,3
SFT271921-MAS19104-Multifunction steering wheel control module-Alarm horn wake-up function,active ,3
SFT271921-ENG258379-Multifunction steering wheel control module-clamp behaviour,active with terminal 58 ,3
SFT271921-ENG260738-Multifunction steering wheel control module-FoD ACC,activated ,3
SFT271921-ENG258784-Multifunction steering wheel control module-FoD Travel Assist,activated ,3
SFT271921-ENG262857-Multifunction steering wheel control module-Kombi_02_gueltig,active ,3
SFT272190-Steering Wheel Touch Recognition Control Module,No Response From Subnet Component,3
ENG118777-ENG118712-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Counter_Master_Reset,active ,12
ENG118777-ENG118710-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Fiddle_Proofing_Limit_Adaptation,100 ,12
ENG118777-ENG118711-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Fiddle_Proofing_Lock_Adaptation,60000 ms,12
ENG118777-ENG118709-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Fiddle_Proofing_Time_Adaptation,10000 ms,12
ENG118777-ENG118705-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Indication_Control_Adaption,3000 ms,12
ENG118777-ENG118706-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Kombi_Offset_Adaption,0 ms,12
ENG118777-ENG118708-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Request_Repetition_Time_Adaptation,255000 ms,12
ENG118777-ENG118707-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Sync_Time_Adaptation,1500 ms,12
ENG118777-ENG118703-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Toogle_Time_Adaptation,500 ms,12
ENG118777-ENG118704-Driving_Profile_Selection_Parameter-Driving_Profile_Selection_Touch_Contact_Time_Adaption,2500 ms,12
ENG137060-ENG113874-EM_energy_management_warning_displays-Battery reports,Mode not active ,4
ENG137060-ENG113873-EM_energy_management_warning_displays-Generatormeldungen,Mode not active ,4
ENG137060-ENG118686-EM_energy_management_warning_displays-MMI Vorwarnungen,Mode not active ,4
ENG137060-ENG98711-EM_energy_management_warning_displays-State of Charge (SOC),Mode not active ,4
ENG137075-EM_heating_power_quota_adjustment,1000 W,1
ENG137061-EM_nominal_voltage_limitation_low_beams,12.1 V,1
ENG137063-EM_requirement_reduction_air_blowers,Mode not active ,1
ENG137058-SFT00001-GW_Enable_CAN_Timeout_DTC-Engine Electronics,activated ,32
ENG137058-SFT00002-GW_Enable_CAN_Timeout_DTC-Transmission Electronics,activated ,32
ENG137058-SFT00003-GW_Enable_CAN_Timeout_DTC-Brake electronics,not activated ,32
ENG137058-SFT00006-GW_Enable_CAN_Timeout_DTC-Seat adjustment: passenger's side,activated ,32
ENG137058-SFT00008-GW_Enable_CAN_Timeout_DTC-Climate Control Module,activated ,32
ENG137058-SFT00009-GW_Enable_CAN_Timeout_DTC-Electronic central electric,activated ,32
ENG137058-SFT00011-GW_Enable_CAN_Timeout_DTC-Auxiliary Air Heater,activated ,32
ENG137058-SFT00014-GW_Enable_CAN_Timeout_DTC-Media Player 1,activated ,32
ENG137058-SFT00019-GW_Enable_CAN_Timeout_DTC-Adaptive Cruise Control,activated ,32
ENG137058-SFT00020-GW_Enable_CAN_Timeout_DTC-Wheel Damping Electronics,activated ,32
ENG137058-SFT00021-GW_Enable_CAN_Timeout_DTC-Airbag,not activated ,32
ENG137058-SFT00022-GW_Enable_CAN_Timeout_DTC-Steering Column Electronics,activated ,32
ENG137058-SFT00023-GW_Enable_CAN_Timeout_DTC-Instrument cluster,activated ,32
ENG137058-SFT00024-GW_Enable_CAN_Timeout_DTC-Auxiliary/parking heating,activated ,32
ENG137058-SFT00025-GW_Enable_CAN_Timeout_DTC-Data Bus OBD Interface,activated ,32
ENG137058-SFT00028-GW_Enable_CAN_Timeout_DTC-Vehicle Position Detection,activated ,32
ENG137058-SFT00032-GW_Enable_CAN_Timeout_DTC-High beam assistant,activated ,32
ENG137058-SFT00033-GW_Enable_CAN_Timeout_DTC-Battery management 2,activated ,32
ENG137058-SFT00034-GW_Enable_CAN_Timeout_DTC-All-wheel drive electronics,activated ,32
ENG137058-SFT00035-GW_Enable_CAN_Timeout_DTC-Brake Boost,activated ,32
ENG137058-SFT00038-GW_Enable_CAN_Timeout_DTC-Convertible top operation,activated ,32
ENG137058-SFT00043-GW_Enable_CAN_Timeout_DTC-Steering column lock,activated ,32
ENG137058-SFT00048-GW_Enable_CAN_Timeout_DTC-Special Function 2,activated ,32
ENG137058-SFT00050-GW_Enable_CAN_Timeout_DTC-Differential lock electronics,activated ,32
ENG137058-SFT00054-GW_Enable_CAN_Timeout_DTC-Seat adjustment: driver side,activated ,32
ENG137058-SFT00060-GW_Enable_CAN_Timeout_DTC-Lane change assistance,activated ,32
ENG137058-SFT00061-GW_Enable_CAN_Timeout_DTC-Special Function,activated ,32
ENG137058-SFT00064-GW_Enable_CAN_Timeout_DTC-A/C compressor,activated ,32
ENG137058-SFT00066-GW_Enable_CAN_Timeout_DTC-Driver's door electronics,activated ,32
ENG137058-SFT00068-GW_Enable_CAN_Timeout_DTC-Power steering,activated ,32
ENG137058-SFT00071-GW_Enable_CAN_Timeout_DTC-Sound System,activated ,32
ENG137058-SFT00075-GW_Enable_CAN_Timeout_DTC-Multi-function module,activated ,32
ENG137058-SFT00075-GW_Enable_CAN_Timeout_DTC-Multi-function module,activated ,32
ENG137058-SFT00081-GW_Enable_CAN_Timeout_DTC-Electric drive,activated ,32
ENG137058-SFT00082-GW_Enable_CAN_Timeout_DTC-Passenger's door electronics,activated ,32
ENG137058-SFT00085-GW_Enable_CAN_Timeout_DTC-Headlamp range control,activated ,32
ENG137058-SFT00086-GW_Enable_CAN_Timeout_DTC-Radio,activated ,32
ENG137058-SFT00087-GW_Enable_CAN_Timeout_DTC-TV Tuner,activated ,32
ENG137058-SFT00095-GW_Enable_CAN_Timeout_DTC-Information electronics 1,activated ,32
ENG137058-SFT00096-GW_Enable_CAN_Timeout_DTC-Trip recorder,activated ,32
ENG137058-SFT00101-GW_Enable_CAN_Timeout_DTC-Tire Pressure Monitoring System (TPMS),activated ,32
ENG137058-SFT00105-GW_Enable_CAN_Timeout_DTC-Trailer Function,activated ,32
ENG137058-SFT00108-GW_Enable_CAN_Timeout_DTC-Rear view camera system,activated ,32
ENG137058-SFT00109-GW_Enable_CAN_Timeout_DTC-Rear lid electronics,activated ,32
ENG137058-SFT00117-GW_Enable_CAN_Timeout_DTC-Emergency call module and communication unit,activated ,32
ENG137058-SFT00118-GW_Enable_CAN_Timeout_DTC-Parking aid,activated ,32
ENG137058-SFT00128-GW_Enable_CAN_Timeout_DTC-Battery control additional memory 1,activated ,32
ENG137058-SFT00130-GW_Enable_CAN_Timeout_DTC-Head-Up-Display,activated ,32
ENG137058-SFT00140-GW_Enable_CAN_Timeout_DTC-Hybrid Battery Management,activated ,32
ENG137058-SFT00165-GW_Enable_CAN_Timeout_DTC-Front sensor for drivers assistant systems,activated ,32
ENG137058-SFT00166-GW_Enable_CAN_Timeout_DTC-Microphone control module,activated ,32
ENG137058-SFT00169-GW_Enable_CAN_Timeout_DTC-Structure-borne sound actuator,activated ,32
ENG137058-SFT00183-GW_Enable_CAN_Timeout_DTC-Interface for access/start system,activated ,32
ENG137058-SFT00187-GW_Enable_CAN_Timeout_DTC-Rear drivers side door electronics,activated ,32
ENG137058-SFT00188-GW_Enable_CAN_Timeout_DTC-Rear passenger side door electronics,activated ,32
ENG137058-SFT00189-GW_Enable_CAN_Timeout_DTC-High-voltage battery charging management,activated ,32
ENG137058-SFT00190-GW_Enable_CAN_Timeout_DTC-Left rear sliding door,activated ,32
ENG137058-SFT00191-GW_Enable_CAN_Timeout_DTC-Right rear sliding door,activated ,32
ENG137058-SFT00192-GW_Enable_CAN_Timeout_DTC-Actuator For Exterior Noise,activated ,32
ENG137058-SFT00197-GW_Enable_CAN_Timeout_DTC-Thermal management,activated ,32
ENG137058-SFT00198-GW_Enable_CAN_Timeout_DTC-High-voltage battery charger,activated ,32
ENG137058-SFT00202-GW_Enable_CAN_Timeout_DTC-Sunroof control module,activated ,32
ENG137058-SFT00204-GW_Enable_CAN_Timeout_DTC-Starter generator,activated ,32
ENG137058-SFT00207-GW_Enable_CAN_Timeout_DTC-Lane Change Assistance 2,activated ,32
ENG137058-ENG118664-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x00,activated ,32
ENG137058-ENG118466-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x01,activated ,32
ENG137058-ENG118467-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x02,activated ,32
ENG137058-ENG118468-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x03,activated ,32
ENG137058-ENG118469-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x04,activated ,32
ENG137058-ENG118470-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x05,activated ,32
ENG137058-ENG118471-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x06,activated ,32
ENG137058-ENG118472-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x07,activated ,32
ENG137058-ENG118473-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x08,activated ,32
ENG137058-ENG118475-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x0D,activated ,32
ENG137058-ENG118476-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x11,activated ,32
ENG137058-ENG118477-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x16,activated ,32
ENG137058-ENG118478-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x17,activated ,32
ENG137058-ENG118479-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x1A,activated ,32
ENG137058-ENG118481-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x1D,activated ,32
ENG137058-ENG118482-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x1F,activated ,32
ENG137058-ENG118483-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x20,activated ,32
ENG137058-ENG118484-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x21,activated ,32
ENG137058-ENG118485-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x22,activated ,32
ENG137058-ENG118486-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x24,activated ,32
ENG137058-ENG118487-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x25,activated ,32
ENG137058-ENG118488-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x26,activated ,32
ENG137058-ENG118489-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x27,activated ,32
ENG137058-ENG118490-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x28,activated ,32
ENG137058-ENG118491-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x29,activated ,32
ENG137058-ENG118492-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x2A,activated ,32
ENG137058-ENG118493-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x2E,activated ,32
ENG137058-ENG118494-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x2F,activated ,32
ENG137058-ENG118495-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x35,activated ,32
ENG137058-ENG118496-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x36,activated ,32
ENG137058-ENG118497-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x37,activated ,32
ENG137058-ENG118498-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x38,activated ,32
ENG137058-ENG118499-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x39,activated ,32
ENG137058-ENG118500-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x3A,activated ,32
ENG137058-ENG118501-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x3C,activated ,32
ENG137058-ENG118502-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x3D,activated ,32
ENG137058-ENG118503-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x40,activated ,32
ENG137058-ENG118504-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x41,activated ,32
ENG137058-ENG118505-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x43,activated ,32
ENG137058-ENG118506-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x45,activated ,32
ENG137058-ENG118507-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x48,activated ,32
ENG137058-ENG118508-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x49,activated ,32
ENG137058-ENG118509-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x51,activated ,32
ENG137058-ENG118510-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x52,activated ,32
ENG137058-ENG118511-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x53,activated ,32
ENG137058-ENG118512-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x55,activated ,32
ENG137058-ENG118513-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x56,activated ,32
ENG137058-ENG118514-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x58,activated ,32
ENG137058-ENG118515-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x59,activated ,32
ENG137058-ENG118516-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5A,activated ,32
ENG137058-ENG118517-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5B,activated ,32
ENG137058-ENG118518-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5C,activated ,32
ENG137058-ENG118519-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5D,activated ,32
ENG137058-ENG118520-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5E,activated ,32
ENG137058-ENG118521-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x5F,activated ,32
ENG137058-ENG118522-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x60,activated ,32
ENG137058-ENG118523-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x61,activated ,32
ENG137058-ENG118524-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x62,activated ,32
ENG137058-ENG118525-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x66,activated ,32
ENG137058-ENG118526-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x68,activated ,32
ENG137058-ENG118527-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x6B,activated ,32
ENG137058-ENG118528-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x6C,activated ,32
ENG137058-ENG118529-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x6E,activated ,32
ENG137058-ENG118530-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x74,activated ,32
ENG137058-ENG118531-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x75,activated ,32
ENG137058-ENG118532-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x78,activated ,32
ENG137058-ENG118533-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x79,activated ,32
ENG137058-ENG118534-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x7A,activated ,32
ENG137058-ENG118535-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x7D,activated ,32
ENG137058-ENG118536-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x7E,activated ,32
ENG137058-ENG118537-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x7F,activated ,32
ENG137058-ENG118538-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x80,activated ,32
ENG137058-ENG118539-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x81,activated ,32
ENG137058-ENG118540-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x82,activated ,32
ENG137058-ENG118541-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x83,activated ,32
ENG137058-ENG118543-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x86,activated ,32
ENG137058-ENG118544-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x87,activated ,32
ENG137058-ENG118545-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x88,activated ,32
ENG137058-ENG118546-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x89,activated ,32
ENG137058-ENG118547-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x8B,activated ,32
ENG137058-ENG118548-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x8C,activated ,32
ENG137058-ENG118549-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x8D,activated ,32
ENG137058-ENG118550-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x8E,activated ,32
ENG137058-ENG118551-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x8F,activated ,32
ENG137058-ENG118552-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x90,activated ,32
ENG137058-ENG118553-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x91,activated ,32
ENG137058-ENG118554-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x92,activated ,32
ENG137058-ENG118555-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x93,activated ,32
ENG137058-ENG118556-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x94,activated ,32
ENG137058-ENG118557-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x95,activated ,32
ENG137058-ENG118558-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x96,activated ,32
ENG137058-ENG118559-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x97,activated ,32
ENG137058-ENG118560-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x98,activated ,32
ENG137058-ENG118561-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x99,activated ,32
ENG137058-ENG118562-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x9A,activated ,32
ENG137058-ENG118563-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x9B,activated ,32
ENG137058-ENG118565-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x9D,activated ,32
ENG137058-ENG118566-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x9E,activated ,32
ENG137058-ENG118567-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0x9F,activated ,32
ENG137058-ENG118568-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA0,activated ,32
ENG137058-ENG118569-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA1,activated ,32
ENG137058-ENG118570-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA2,activated ,32
ENG137058-ENG118571-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA3,activated ,32
ENG137058-ENG118573-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA5,activated ,32
ENG137058-ENG118574-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA6,activated ,32
ENG137058-ENG118575-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA7,activated ,32
ENG137058-ENG118576-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xA8,activated ,32
ENG137058-ENG118578-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xAA,activated ,32
ENG137058-ENG118579-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xAB,activated ,32
ENG137058-ENG118580-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xAC,activated ,32
ENG137058-ENG118581-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xAD,activated ,32
ENG137058-ENG118583-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xAF,activated ,32
ENG137058-ENG118584-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB0,activated ,32
ENG137058-ENG118585-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB1,activated ,32
ENG137058-ENG118586-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB2,activated ,32
ENG137058-ENG118587-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB3,activated ,32
ENG137058-ENG118588-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB4,activated ,32
ENG137058-ENG118589-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB5,activated ,32
ENG137058-ENG118590-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB6,activated ,32
ENG137058-ENG118591-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB7,activated ,32
ENG137058-ENG118592-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB8,activated ,32
ENG137058-ENG118593-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xB9,activated ,32
ENG137058-ENG118594-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBA,activated ,32
ENG137058-ENG118595-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBB,activated ,32
ENG137058-ENG118596-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBC,activated ,32
ENG137058-ENG118597-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBD,activated ,32
ENG137058-ENG118598-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBE,activated ,32
ENG137058-ENG118599-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xBF,activated ,32
ENG137058-ENG118600-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC0,activated ,32
ENG137058-ENG118601-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC1,activated ,32
ENG137058-ENG118602-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC2,activated ,32
ENG137058-ENG118603-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC3,activated ,32
ENG137058-ENG118604-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC4,activated ,32
ENG137058-ENG118605-GW_Enable_CAN_Timeout_DTC-Gateway_Component_List_Failure_Mask_Node_0xC5,activated ,32
