;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
ENG141683-ENG141975-Allwetterlicht_Spoiler-tt_spoiler,not installed ,4
ENG153710-ENG154516-Ambience_lightning_color_list_2-Blauwert Farbe 11,30 ,60
ENG153710-ENG154517-Ambience_lightning_color_list_2-Blauwert Farbe 12,30 ,60
ENG153710-ENG154518-Ambience_lightning_color_list_2-Blauwert Farbe 13,110 ,60
ENG153710-ENG154519-Ambience_lightning_color_list_2-Blauwert Farbe 14,140 ,60
ENG153710-ENG154520-Ambience_lightning_color_list_2-Blauwert Farbe 15,160 ,60
ENG153710-ENG154521-Ambience_lightning_color_list_2-Blauwert Farbe 16,200 ,60
ENG153710-ENG154522-Ambience_lightning_color_list_2-Blauwert Farbe 17,255 ,60
ENG153710-ENG154523-Ambience_lightning_color_list_2-Blauwert Farbe 18,255 ,60
ENG153710-ENG154524-Ambience_lightning_color_list_2-Blauwert Farbe 19,255 ,60
ENG153710-ENG154525-Ambience_lightning_color_list_2-Blauwert Farbe 20,255 ,60
ENG153710-ENG154539-Ambience_lightning_color_list_2-Blauwert_Farbe_21,255 ,60
ENG153710-ENG154541-Ambience_lightning_color_list_2-Blauwert_Farbe_22,255 ,60
ENG153710-ENG154543-Ambience_lightning_color_list_2-Blauwert_Farbe_23,255 ,60
ENG153710-ENG154545-Ambience_lightning_color_list_2-Blauwert_Farbe_24,255 ,60
ENG153710-ENG154547-Ambience_lightning_color_list_2-Blauwert_Farbe_25,255 ,60
ENG153710-ENG154549-Ambience_lightning_color_list_2-Blauwert_Farbe_26,255 ,60
ENG153710-ENG154551-Ambience_lightning_color_list_2-Blauwert_Farbe_27,115 ,60
ENG153710-ENG154553-Ambience_lightning_color_list_2-Blauwert_Farbe_28,90 ,60
ENG153710-ENG154555-Ambience_lightning_color_list_2-Blauwert_Farbe_29,70 ,60
ENG153710-ENG154558-Ambience_lightning_color_list_2-Blauwert_Farbe_30,100 ,60
ENG153710-ENG154635-Ambience_lightning_color_list_2-Gruenwert Farbe 11,255 ,60
ENG153710-ENG154636-Ambience_lightning_color_list_2-Gruenwert Farbe 12,235 ,60
ENG153710-ENG154637-Ambience_lightning_color_list_2-Gruenwert Farbe 13,235 ,60
ENG153710-ENG154638-Ambience_lightning_color_list_2-Gruenwert Farbe 14,255 ,60
ENG153710-ENG154639-Ambience_lightning_color_list_2-Gruenwert Farbe 15,225 ,60
ENG153710-ENG154640-Ambience_lightning_color_list_2-Gruenwert Farbe 16,225 ,60
ENG153710-ENG154641-Ambience_lightning_color_list_2-Gruenwert Farbe 17,200 ,60
ENG153710-ENG154642-Ambience_lightning_color_list_2-Gruenwert Farbe 18,160 ,60
ENG153710-ENG154643-Ambience_lightning_color_list_2-Gruenwert Farbe 19,120 ,60
ENG153710-ENG154644-Ambience_lightning_color_list_2-Gruenwert Farbe 20,90 ,60
ENG153710-ENG154658-Ambience_lightning_color_list_2-Gruenwert_Farbe_21,40 ,60
ENG153710-ENG154660-Ambience_lightning_color_list_2-Gruenwert_Farbe_22,30 ,60
ENG153710-ENG154662-Ambience_lightning_color_list_2-Gruenwert_Farbe_23,30 ,60
ENG153710-ENG154664-Ambience_lightning_color_list_2-Gruenwert_Farbe_24,30 ,60
ENG153710-ENG154666-Ambience_lightning_color_list_2-Gruenwert_Farbe_25,0 ,60
ENG153710-ENG154668-Ambience_lightning_color_list_2-Gruenwert_Farbe_26,0 ,60
ENG153710-ENG154670-Ambience_lightning_color_list_2-Gruenwert_Farbe_27,0 ,60
ENG153710-ENG154672-Ambience_lightning_color_list_2-Gruenwert_Farbe_28,40 ,60
ENG153710-ENG154674-Ambience_lightning_color_list_2-Gruenwert_Farbe_29,90 ,60
ENG153710-ENG154677-Ambience_lightning_color_list_2-Gruenwert_Farbe_30,110 ,60
ENG153710-ENG154723-Ambience_lightning_color_list_2-Rotwert Farbe 11,60 ,60
ENG153710-ENG154724-Ambience_lightning_color_list_2-Rotwert Farbe 12,0 ,60
ENG153710-ENG154725-Ambience_lightning_color_list_2-Rotwert Farbe 13,0 ,60
ENG153710-ENG154726-Ambience_lightning_color_list_2-Rotwert Farbe 14,50 ,60
ENG153710-ENG154727-Ambience_lightning_color_list_2-Rotwert Farbe 15,0 ,60
ENG153710-ENG154728-Ambience_lightning_color_list_2-Rotwert Farbe 16,0 ,60
ENG153710-ENG154729-Ambience_lightning_color_list_2-Rotwert Farbe 17,0 ,60
ENG153710-ENG154730-Ambience_lightning_color_list_2-Rotwert Farbe 18,0 ,60
ENG153710-ENG154731-Ambience_lightning_color_list_2-Rotwert Farbe 19,0 ,60
ENG153710-ENG154732-Ambience_lightning_color_list_2-Rotwert Farbe 20,10 ,60
ENG153710-ENG154746-Ambience_lightning_color_list_2-Rotwert_Farbe_21,30 ,60
ENG153710-ENG154748-Ambience_lightning_color_list_2-Rotwert_Farbe_22,65 ,60
ENG153710-ENG154750-Ambience_lightning_color_list_2-Rotwert_Farbe_23,120 ,60
ENG153710-ENG154752-Ambience_lightning_color_list_2-Rotwert_Farbe_24,195 ,60
ENG153710-ENG154754-Ambience_lightning_color_list_2-Rotwert_Farbe_25,220 ,60
ENG153710-ENG154756-Ambience_lightning_color_list_2-Rotwert_Farbe_26,255 ,60
ENG153710-ENG154758-Ambience_lightning_color_list_2-Rotwert_Farbe_27,255 ,60
ENG153710-ENG154760-Ambience_lightning_color_list_2-Rotwert_Farbe_28,255 ,60
ENG153710-ENG154762-Ambience_lightning_color_list_2-Rotwert_Farbe_29,255 ,60
ENG153710-ENG154765-Ambience_lightning_color_list_2-Rotwert_Farbe_30,240 ,60
ENG153711-ENG154528-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_11_lin,0 ,60
ENG153711-ENG154529-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_12_lin,0 ,60
ENG153711-ENG154530-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_13_lin,0 ,60
ENG153711-ENG154531-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_14_lin,0 ,60
ENG153711-ENG154532-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_15_lin,0 ,60
ENG153711-ENG154533-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_16_lin,0 ,60
ENG153711-ENG154534-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_17_lin,0 ,60
ENG153711-ENG154535-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_18_lin,0 ,60
ENG153711-ENG154536-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_19_lin,0 ,60
ENG153711-ENG154538-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_20_lin,0 ,60
ENG153711-ENG154540-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_21_lin,0 ,60
ENG153711-ENG154542-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_22_lin,0 ,60
ENG153711-ENG154544-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_23_lin,0 ,60
ENG153711-ENG154546-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_24_lin,0 ,60
ENG153711-ENG154548-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_25_lin,0 ,60
ENG153711-ENG154550-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_26_lin,0 ,60
ENG153711-ENG154552-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_27_lin,0 ,60
ENG153711-ENG154554-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_28_lin,0 ,60
ENG153711-ENG154556-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_29_lin,0 ,60
ENG153711-ENG154559-Ambience_lightning_color_list_lin_2-Blauwert_Farbe_30_lin,0 ,60
ENG153711-ENG154647-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_11_lin,0 ,60
ENG153711-ENG154648-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_12_lin,0 ,60
ENG153711-ENG154649-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_13_lin,0 ,60
ENG153711-ENG154650-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_14_lin,0 ,60
ENG153711-ENG154651-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_15_lin,0 ,60
ENG153711-ENG154652-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_16_lin,0 ,60
ENG153711-ENG154653-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_17_lin,0 ,60
ENG153711-ENG154654-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_18_lin,0 ,60
ENG153711-ENG154655-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_19_lin,0 ,60
ENG153711-ENG154657-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_20_lin,0 ,60
ENG153711-ENG154659-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_21_lin,0 ,60
ENG153711-ENG154661-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_22_lin,0 ,60
ENG153711-ENG154663-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_23_lin,0 ,60
ENG153711-ENG154665-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_24_lin,0 ,60
ENG153711-ENG154667-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_25_lin,0 ,60
ENG153711-ENG154669-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_26_lin,0 ,60
ENG153711-ENG154671-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_27_lin,0 ,60
ENG153711-ENG154673-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_28_lin,0 ,60
ENG153711-ENG154675-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_29_lin,0 ,60
ENG153711-ENG154678-Ambience_lightning_color_list_lin_2-Gruenwert_Farbe_30_lin,0 ,60
ENG153711-ENG154735-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_11_lin,0 ,60
ENG153711-ENG154736-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_12_lin,0 ,60
ENG153711-ENG154737-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_13_lin,0 ,60
ENG153711-ENG154738-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_14_lin,0 ,60
ENG153711-ENG154739-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_15_lin,0 ,60
ENG153711-ENG154740-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_16_lin,0 ,60
ENG153711-ENG154741-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_17_lin,0 ,60
ENG153711-ENG154742-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_18_lin,0 ,60
ENG153711-ENG154743-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_19_lin,0 ,60
ENG153711-ENG154745-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_20_lin,0 ,60
ENG153711-ENG154747-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_21_lin,0 ,60
ENG153711-ENG154749-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_22_lin,0 ,60
ENG153711-ENG154751-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_23_lin,0 ,60
ENG153711-ENG154753-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_24_lin,0 ,60
ENG153711-ENG154755-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_25_lin,0 ,60
ENG153711-ENG154757-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_26_lin,0 ,60
ENG153711-ENG154759-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_27_lin,0 ,60
ENG153711-ENG154761-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_28_lin,0 ,60
ENG153711-ENG154763-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_29_lin,0 ,60
ENG153711-ENG154766-Ambience_lightning_color_list_lin_2-Rotwert_Farbe_30_lin,0 ,60
ENG126649-ENG126874-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_1,1.00 ,30
ENG126649-ENG126901-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_10,1.00 ,30
ENG126649-ENG126904-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_11,1.00 ,30
ENG126649-ENG126907-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_12,1.00 ,30
ENG126649-ENG126910-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_13,1.00 ,30
ENG126649-ENG126913-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_14,1.00 ,30
ENG126649-ENG126916-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_15,1.00 ,30
ENG126649-ENG126877-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_2,1.00 ,30
ENG126649-ENG126880-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_3,1.00 ,30
ENG126649-ENG126883-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_4,1.00 ,30
ENG126649-ENG126886-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_5,1.00 ,30
ENG126649-ENG126889-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_6,1.00 ,30
ENG126649-ENG126892-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_7,1.00 ,30
ENG126649-ENG126895-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_8,1.00 ,30
ENG126649-ENG126898-ambient_lighting_lin_slaves_groups-pa_korrekturfaktor_gruppe_9,1.00 ,30
ENG126649-ENG126873-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_1,door ,30
ENG126649-ENG126900-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_10,door ,30
ENG126649-ENG126903-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_11,door ,30
ENG126649-ENG126906-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_12,door ,30
ENG126649-ENG126909-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_13,door ,30
ENG126649-ENG126912-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_14,door ,30
ENG126649-ENG126915-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_15,door ,30
ENG126649-ENG126876-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_2,door ,30
ENG126649-ENG126879-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_3,door ,30
ENG126649-ENG126882-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_4,door ,30
ENG126649-ENG126885-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_5,door ,30
ENG126649-ENG126888-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_6,door ,30
ENG126649-ENG126891-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_7,door ,30
ENG126649-ENG126894-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_8,door ,30
ENG126649-ENG126897-ambient_lighting_lin_slaves_groups-pa_lichtfunktion_gruppe_9,door ,30
ENG126649-ENG126872-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_1,not installed ,30
ENG126649-ENG126899-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_10,not installed ,30
ENG126649-ENG126902-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_11,not installed ,30
ENG126649-ENG126905-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_12,not installed ,30
ENG126649-ENG126908-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_13,not installed ,30
ENG126649-ENG126911-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_14,not installed ,30
ENG126649-ENG126914-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_15,not installed ,30
ENG126649-ENG126875-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_2,not installed ,30
ENG126649-ENG126878-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_3,not installed ,30
ENG126649-ENG126881-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_4,not installed ,30
ENG126649-ENG126884-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_5,not installed ,30
ENG126649-ENG126887-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_6,not installed ,30
ENG126649-ENG126890-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_7,not installed ,30
ENG126649-ENG126893-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_8,not installed ,30
ENG126649-ENG126896-ambient_lighting_lin_slaves_groups-pa_verbauinfo_gruppe_9,not installed ,30
ENG128379-ENG128424-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_:12,0 ,60
ENG128379-ENG128391-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_1,0 ,60
ENG128379-ENG128418-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_10,0 ,60
ENG128379-ENG128421-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_11,0 ,60
ENG128379-ENG128427-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_13,0 ,60
ENG128379-ENG128430-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_14,0 ,60
ENG128379-ENG128433-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_15,0 ,60
ENG128379-ENG128436-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_16,0 ,60
ENG128379-ENG128439-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_17,0 ,60
ENG128379-ENG128442-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_18,0 ,60
ENG128379-ENG128445-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_19,0 ,60
ENG128379-ENG128394-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_2,0 ,60
ENG128379-ENG128448-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_20,0 ,60
ENG128379-ENG128397-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_3,0 ,60
ENG128379-ENG128400-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_4,0 ,60
ENG128379-ENG128403-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_5,0 ,60
ENG128379-ENG128406-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_6,0 ,60
ENG128379-ENG128409-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_7,0 ,60
ENG128379-ENG128412-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_8,0 ,60
ENG128379-ENG128415-ambient_lighting_lin_slaves_modules-pa_einzeladresse_slave_9,0 ,60
ENG128379-ENG128393-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_1,00 ,60
ENG128379-ENG128420-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_10,0 ,60
ENG128379-ENG128423-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_11,0 ,60
ENG128379-ENG128426-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_12,0 ,60
ENG128379-ENG128429-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_13,0 ,60
ENG128379-ENG128432-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_14,0 ,60
ENG128379-ENG128435-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_15,0 ,60
ENG128379-ENG128438-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_16,0 ,60
ENG128379-ENG128441-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_17,0 ,60
ENG128379-ENG128444-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_18,0 ,60
ENG128379-ENG128447-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_19,0 ,60
ENG128379-ENG128396-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_2,0 ,60
ENG128379-ENG128450-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_20,0 ,60
ENG128379-ENG128399-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_3,0 ,60
ENG128379-ENG128402-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_4,0 ,60
ENG128379-ENG128405-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_5,0 ,60
ENG128379-ENG128408-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_6,0 ,60
ENG128379-ENG128411-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_7,0 ,60
ENG128379-ENG128417-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave_9,0 ,60
ENG128379-ENG128414-ambient_lighting_lin_slaves_modules-pa_fehlerort_slave8,0 ,60
ENG128379-ENG128392-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_1,not installed ,60
ENG128379-ENG128419-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_10,not installed ,60
ENG128379-ENG128422-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_11,not installed ,60
ENG128379-ENG128425-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_12,not installed ,60
ENG128379-ENG128428-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_13,not installed ,60
ENG128379-ENG128431-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_14,not installed ,60
ENG128379-ENG128434-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_15,not installed ,60
ENG128379-ENG128437-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_16,not installed ,60
ENG128379-ENG128440-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_17,not installed ,60
ENG128379-ENG128443-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_18,not installed ,60
ENG128379-ENG128446-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_19,not installed ,60
ENG128379-ENG128395-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_2,not installed ,60
ENG128379-ENG128449-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_20,not installed ,60
ENG128379-ENG128398-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_3,not installed ,60
ENG128379-ENG128401-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_4,not installed ,60
ENG128379-ENG128404-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_5,not installed ,60
ENG128379-ENG128407-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_6,not installed ,60
ENG128379-ENG128410-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_7,not installed ,60
ENG128379-ENG128416-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave_9,not installed ,60
ENG128379-ENG128413-ambient_lighting_lin_slaves_modules-pa_verbauinfo_slave8,not installed ,60
ENG126650-ENG126926-Ambiente_light-Dimmung_auf_Zielwert deaktivieren_Suchbeleuchtung,No Response From Subnet Component,60
ENG126650-ENG126927-Ambiente_light-Dimmung_auf_Zielwert_deaktivieren_Innen_und_Leselicht,No Response From Subnet Component,60
ENG126650-ENG126922-Ambiente_light-Korrekturfaktor_ Flaechenlicht_vorne_Farbe_1,No Response From Subnet Component,60
ENG126650-ENG126924-Ambiente_light-Korrekturfaktor_Flaechenlicht_hinten_Farbe_1,No Response From Subnet Component,60
ENG126650-ENG126925-Ambiente_light-Korrekturfaktor_Flaechenlicht_hinten_Farbe_2,No Response From Subnet Component,60
ENG126650-ENG126923-Ambiente_light-Korrekturfaktor_Flaechenlicht_vorne_Farbe_2,No Response From Subnet Component,60
ENG126650-ENG126921-Ambiente_light-Korrekturfaktor_Funktionsbeleuchtung,No Response From Subnet Component,60
