;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
ENG126651-ENG115666-Kennlinie Abdimmen-y8,No Response From Subnet Component,8
ENG126651-ENG115667-Kennlinie Abdimmen-y9,No Response From Subnet Component,8
ENG141660-ENG115658-Kennlinie_sLWR_Soll-x0,-100.00 %,30
ENG141660-ENG101574-Kennlinie_sLWR_Soll-X1,-100.00 %,30
ENG141660-ENG99557-Kennlinie_sLWR_Soll-X2,-100.00 %,30
ENG141660-ENG102140-Kennlinie_sLWR_Soll-X3,-100.00 %,30
ENG141660-ENG102936-Kennlinie_sLWR_Soll-X4,-100.00 %,30
ENG141660-ENG103548-Kennlinie_sLWR_Soll-X5,-100.00 %,30
ENG141660-ENG113992-Kennlinie_sLWR_Soll-X6,-100.00 %,30
ENG141660-ENG115661-Kennlinie_sLWR_Soll-x7,-100.00 ,30
ENG141660-ENG115662-Kennlinie_sLWR_Soll-x8,-100.00 %,30
ENG141660-ENG115663-Kennlinie_sLWR_Soll-x9,-100.00 %,30
ENG141660-ENG115659-Kennlinie_sLWR_Soll-y0,100.0 %,30
ENG141660-ENG99777-Kennlinie_sLWR_Soll-Y1,90.0 %,30
ENG141660-ENG100480-Kennlinie_sLWR_Soll-Y2,80.0 %,30
ENG141660-ENG100773-Kennlinie_sLWR_Soll-Y3,70.0 %,30
ENG141660-ENG100631-Kennlinie_sLWR_Soll-Y4,60.0 %,30
ENG141660-ENG102174-Kennlinie_sLWR_Soll-Y5,50.0 %,30
ENG141660-ENG113993-Kennlinie_sLWR_Soll-Y6,40.0 %,30
ENG141660-ENG115665-Kennlinie_sLWR_Soll-y7,30.0 %,30
ENG141660-ENG115666-Kennlinie_sLWR_Soll-y8,15.0 %,30
ENG141660-ENG115667-Kennlinie_sLWR_Soll-y9,0.0 %,30
ENG116936-ENG115883-Leuchte 0 BLK VL B36-Dimming Direction CD 0,maximize ,16
ENG116936-ENG115887-Leuchte 0 BLK VL B36-Dimming Direction EF 0,maximize ,16
ENG116936-ENG115891-Leuchte 0 BLK VL B36-Dimming Direction GH 0,maximize ,16
ENG116936-ENG115878-Leuchte 0 BLK VL B36-Dimmwert AB 0,0 ,16
ENG116936-ENG115882-Leuchte 0 BLK VL B36-Dimmwert CD 0,0 ,16
ENG116936-ENG115886-Leuchte 0 BLK VL B36-Dimmwert EF 0,0 ,16
ENG116936-ENG115890-Leuchte 0 BLK VL B36-Dimmwert GH 0,0 ,16
ENG116936-ENG115875-Leuchte 0 BLK VL B36-Fehlerort mittleres Byte DTC-DFCC 0,00 ,16
ENG116936-ENG116547-Leuchte 0 BLK VL B36-Lampendefektbit Position 0,00 ,16
ENG116936-ENG115873-Leuchte 0 BLK VL B36-Lasttyp 0,not active ,16
ENG116936-ENG115879-Leuchte 0 BLK VL B36-Lichtansteuerung HD AB 0,Always ,16
ENG116936-ENG115876-Leuchte 0 BLK VL B36-Lichtfunktion A 0,not active ,16
ENG116936-ENG115877-Leuchte 0 BLK VL B36-Lichtfunktion B 0,not active ,16
ENG116936-ENG115880-Leuchte 0 BLK VL B36-Lichtfunktion C 0,not active ,16
ENG116936-ENG115881-Leuchte 0 BLK VL B36-Lichtfunktion D 0,not active ,16
ENG116936-ENG115884-Leuchte 0 BLK VL B36-Lichtfunktion E 0,not active ,16
ENG116936-ENG115885-Leuchte 0 BLK VL B36-Lichtfunktion F 0,not active ,16
ENG116936-ENG115888-Leuchte 0 BLK VL B36-Lichtfunktion G 0,not active ,16
ENG116936-ENG115889-Leuchte 0 BLK VL B36-Lichtfunktion H 0,not active ,16
ENG141657-ENG116167-Leuchte 35 LED Warnblinktaster C48-Dimming Direction CD 15,maximize ,16
ENG141657-ENG116171-Leuchte 35 LED Warnblinktaster C48-Dimming Direction EF 15,maximize ,16
ENG141657-ENG116175-Leuchte 35 LED Warnblinktaster C48-Dimming Direction GH 15,maximize ,16
ENG141657-ENG116162-Leuchte 35 LED Warnblinktaster C48-Dimmwert AB 15,100 ,16
ENG141657-ENG116166-Leuchte 35 LED Warnblinktaster C48-Dimmwert CD 15,0 ,16
ENG141657-ENG116170-Leuchte 35 LED Warnblinktaster C48-Dimmwert EF 15,0 ,16
ENG141657-ENG116174-Leuchte 35 LED Warnblinktaster C48-Dimmwert GH 15,0 ,16
ENG141657-ENG116159-Leuchte 35 LED Warnblinktaster C48-Fehlerort mittleres Byte DTC-DFCC 15,63 ,16
ENG141657-ENG116566-Leuchte 35 LED Warnblinktaster C48-Lampendefektbitposition 15,00 ,16
ENG141657-ENG116157-Leuchte 35 LED Warnblinktaster C48-Lasttyp 15,41 - LED Kleinleistung ,16
ENG141657-ENG116163-Leuchte 35 LED Warnblinktaster C48-Lichtansteuerung HD AB 15,Always ,16
ENG141657-ENG116160-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion A 15,Unknown (76),16
ENG141657-ENG116161-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion B 15,not active ,16
ENG141657-ENG116164-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion C 15,not active ,16
ENG141657-ENG116165-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion D 15,not active ,16
ENG141657-ENG116168-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion E 15,not active ,16
ENG141657-ENG116169-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion F 15,not active ,16
ENG141657-ENG116172-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion G 15,not active ,16
ENG141657-ENG116173-Leuchte 35 LED Warnblinktaster C48-Lichtfunktion H 15,not active ,16
ENG116946-ENG116072-Leuchte10SHUTTER LB23-Dimming Direction CD 10,maximize ,16
ENG116946-ENG116076-Leuchte10SHUTTER LB23-Dimming Direction EF 10,maximize ,16
ENG116946-ENG116080-Leuchte10SHUTTER LB23-Dimming Direction GH 10,maximize ,16
ENG116946-ENG116067-Leuchte10SHUTTER LB23-Dimmwert AB 10,0 ,16
ENG116946-ENG116071-Leuchte10SHUTTER LB23-Dimmwert CD 10,0 ,16
ENG116946-ENG116075-Leuchte10SHUTTER LB23-Dimmwert EF 10,0 ,16
ENG116946-ENG116079-Leuchte10SHUTTER LB23-Dimmwert GH 10,0 ,16
ENG116946-ENG116064-Leuchte10SHUTTER LB23-Fehlerort mittleres Byte DTC-DFCC 10,00 ,16
ENG116946-ENG116560-Leuchte10SHUTTER LB23-Lampendefektbitposition 10,00 ,16
ENG116946-ENG116062-Leuchte10SHUTTER LB23-Lasttyp 10,not active ,16
ENG116946-ENG116068-Leuchte10SHUTTER LB23-Lichtansteuerung HD AB 10,Always ,16
ENG116946-ENG116065-Leuchte10SHUTTER LB23-Lichtfunktion A 10,not active ,16
ENG116946-ENG116066-Leuchte10SHUTTER LB23-Lichtfunktion B 10,not active ,16
ENG116946-ENG116069-Leuchte10SHUTTER LB23-Lichtfunktion C 10,not active ,16
ENG116946-ENG116070-Leuchte10SHUTTER LB23-Lichtfunktion D 10,not active ,16
ENG116946-ENG116073-Leuchte10SHUTTER LB23-Lichtfunktion E 10,not active ,16
ENG116946-ENG116074-Leuchte10SHUTTER LB23-Lichtfunktion F 10,not active ,16
ENG116946-ENG116077-Leuchte10SHUTTER LB23-Lichtfunktion G 10,not active ,16
ENG116946-ENG116078-Leuchte10SHUTTER LB23-Lichtfunktion H 10,not active ,16
ENG116947-ENG116091-Leuchte11SHUTTER RB22-Dimming Direction CD 11,maximize ,16
ENG116947-ENG116095-Leuchte11SHUTTER RB22-Dimming Direction EF 11,maximize ,16
ENG116947-ENG116099-Leuchte11SHUTTER RB22-Dimming Direction GH 11,maximize ,16
ENG116947-ENG116086-Leuchte11SHUTTER RB22-Dimmwert AB 11,0 ,16
ENG116947-ENG116090-Leuchte11SHUTTER RB22-Dimmwert CD 11,0 ,16
ENG116947-ENG116094-Leuchte11SHUTTER RB22-Dimmwert EF 11,0 ,16
ENG116947-ENG116098-Leuchte11SHUTTER RB22-Dimmwert GH 11,0 ,16
ENG116947-ENG116083-Leuchte11SHUTTER RB22-Fehlerort mittleres Byte DTC-DFCC 11,00 ,16
ENG116947-ENG116561-Leuchte11SHUTTER RB22-Lampendefektbitposition 11,00 ,16
ENG116947-ENG116081-Leuchte11SHUTTER RB22-Lasttyp 11,not active ,16
ENG116947-ENG116087-Leuchte11SHUTTER RB22-Lichtansteuerung HD AB 11,Always ,16
ENG116947-ENG116084-Leuchte11SHUTTER RB22-Lichtfunktion A 11,not active ,16
ENG116947-ENG116085-Leuchte11SHUTTER RB22-Lichtfunktion B 11,not active ,16
ENG116947-ENG116088-Leuchte11SHUTTER RB22-Lichtfunktion C 11,not active ,16
ENG116947-ENG116089-Leuchte11SHUTTER RB22-Lichtfunktion D 11,not active ,16
ENG116947-ENG116092-Leuchte11SHUTTER RB22-Lichtfunktion E 11,not active ,16
ENG116947-ENG116093-Leuchte11SHUTTER RB22-Lichtfunktion F 11,not active ,16
ENG116947-ENG116096-Leuchte11SHUTTER RB22-Lichtfunktion G 11,not active ,16
ENG116947-ENG116097-Leuchte11SHUTTER RB22-Lichtfunktion H 11,not active ,16
ENG116948-ENG116110-Leuchte12NL LB45-Dimming Direction CD 12,maximize ,16
ENG116948-ENG116114-Leuchte12NL LB45-Dimming Direction EF 12,maximize ,16
ENG116948-ENG116118-Leuchte12NL LB45-Dimming Direction GH 12,maximize ,16
ENG116948-ENG116105-Leuchte12NL LB45-Dimmwert AB 12,100 ,16
ENG116948-ENG116109-Leuchte12NL LB45-Dimmwert CD 12,10 ,16
ENG116948-ENG116113-Leuchte12NL LB45-Dimmwert EF 12,0 ,16
ENG116948-ENG116117-Leuchte12NL LB45-Dimmwert GH 12,0 ,16
ENG116948-ENG116102-Leuchte12NL LB45-Fehlerort mittleres Byte DTC-DFCC 12,00 ,16
ENG116948-ENG116562-Leuchte12NL LB45-Lampendefektbitposition 12,00 ,16
ENG116948-ENG116100-Leuchte12NL LB45-Lasttyp 12,4 - LED Tagfahrlichtmodul Signal ,16
ENG116948-ENG116106-Leuchte12NL LB45-Lichtansteuerung HD AB 12,Always ,16
ENG116948-ENG116103-Leuchte12NL LB45-Lichtfunktion A 12,Daytime running lights ,16
ENG116948-ENG116104-Leuchte12NL LB45-Lichtfunktion B 12,not active ,16
ENG116948-ENG116107-Leuchte12NL LB45-Lichtfunktion C 12,Abblendlicht links ,16
ENG116948-ENG116108-Leuchte12NL LB45-Lichtfunktion D 12,not active ,16
ENG116948-ENG116111-Leuchte12NL LB45-Lichtfunktion E 12,not active ,16
ENG116948-ENG116112-Leuchte12NL LB45-Lichtfunktion F 12,not active ,16
ENG116948-ENG116115-Leuchte12NL LB45-Lichtfunktion G 12,not active ,16
ENG116948-ENG116116-Leuchte12NL LB45-Lichtfunktion H 12,not active ,16
ENG116949-ENG116129-Leuchte13NL RB5-Dimming Direction CD 13,maximize ,16
ENG116949-ENG116133-Leuchte13NL RB5-Dimming Direction EF 13,maximize ,16
ENG116949-ENG116137-Leuchte13NL RB5-Dimming Direction GH 13,maximize ,16
ENG116949-ENG116124-Leuchte13NL RB5-Dimmwert AB 13,100 ,16
ENG116949-ENG116128-Leuchte13NL RB5-Dimmwert CD 13,10 ,16
ENG116949-ENG116132-Leuchte13NL RB5-Dimmwert EF 13,0 ,16
ENG116949-ENG116136-Leuchte13NL RB5-Dimmwert GH 13,0 ,16
ENG116949-ENG116121-Leuchte13NL RB5-Fehlerort mittleres Byte DTC-DFCC 13,00 ,16
ENG116949-ENG116563-Leuchte13NL RB5-Lampendefektbitposition 13,00 ,16
ENG116949-ENG116119-Leuchte13NL RB5-Lasttyp 13,4 - LED Tagfahrlichtmodul Signal ,16
ENG116949-ENG116125-Leuchte13NL RB5-Lichtansteuerung HD AB 13,Always ,16
ENG116949-ENG116122-Leuchte13NL RB5-Lichtfunktion A 13,Daytime running lights ,16
ENG116949-ENG116123-Leuchte13NL RB5-Lichtfunktion B 13,not active ,16
ENG116949-ENG116564-Leuchte13NL RB5-Lichtfunktion C 13,Abblendlicht rechts ,16
ENG116949-ENG116127-Leuchte13NL RB5-Lichtfunktion D 13,not active ,16
ENG116949-ENG116130-Leuchte13NL RB5-Lichtfunktion E 13,not active ,16
ENG116949-ENG116131-Leuchte13NL RB5-Lichtfunktion F 13,not active ,16
ENG116949-ENG116134-Leuchte13NL RB5-Lichtfunktion G 13,not active ,16
ENG116949-ENG116135-Leuchte13NL RB5-Lichtfunktion H 13,not active ,16
ENG116952-ENG116186-Leuchte16BLK SLB35BLK SL KC9-Dimming Direction CD 16,maximize ,16
ENG116952-ENG116190-Leuchte16BLK SLB35BLK SL KC9-Dimming Direction EF 16,maximize ,16
ENG116952-ENG116194-Leuchte16BLK SLB35BLK SL KC9-Dimming Direction GH 16,maximize ,16
ENG116952-ENG116181-Leuchte16BLK SLB35BLK SL KC9-Dimmwert AB 16,127 ,16
ENG116952-ENG116185-Leuchte16BLK SLB35BLK SL KC9-Dimmwert CD 16,0 ,16
ENG116952-ENG116189-Leuchte16BLK SLB35BLK SL KC9-Dimmwert EF 16,0 ,16
ENG116952-ENG116193-Leuchte16BLK SLB35BLK SL KC9-Dimmwert GH 16,0 ,16
ENG116952-ENG116178-Leuchte16BLK SLB35BLK SL KC9-Fehlerort mittleres Byte DTC-DFCC 16,36 ,16
ENG116952-ENG116567-Leuchte16BLK SLB35BLK SL KC9-Lampendefektbitposition 16,00 ,16
ENG116952-ENG116176-Leuchte16BLK SLB35BLK SL KC9-Lasttyp 16,43 - allgemeine LED ,16
ENG116952-ENG116182-Leuchte16BLK SLB35BLK SL KC9-Lichtansteuerung HD AB 16,only_if_closed ,16
ENG116952-ENG116179-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion A 16,Standlicht allgemein (Schlusslicht: Positionslicht: Begrenzungslicht) ,16
ENG116952-ENG116180-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion B 16,Parking light right ,16
ENG116952-ENG116183-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion C 16,not active ,16
ENG116952-ENG116184-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion D 16,not active ,16
ENG116952-ENG116187-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion E 16,not active ,16
ENG116952-ENG116188-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion F 16,not active ,16
ENG116952-ENG116191-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion G 16,not active ,16
ENG116952-ENG116192-Leuchte16BLK SLB35BLK SL KC9-Lichtfunktion H 16,not active ,16
ENG116953-ENG116205-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimming Direction CD 17,maximize ,16
ENG116953-ENG116209-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimming Direction EF 17,maximize ,16
ENG116953-ENG116213-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimming Direction GH 17,maximize ,16
ENG116953-ENG116200-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimmwert AB 17,127 ,16
ENG116953-ENG116204-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimmwert CD 17,0 ,16
ENG116953-ENG116208-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimmwert EF 17,0 ,16
ENG116953-ENG116212-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Dimmwert GH 17,0 ,16
ENG116953-ENG116197-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Fehlerort mittleres Byte DTC-DFCC 17,35 ,16
ENG116953-ENG116568-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lampendefektbitposition 17,00 ,16
ENG116953-ENG116195-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lasttyp 17,43 - allgemeine LED ,16
ENG116953-ENG116201-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtansteuerung HD AB 17,only_if_closed ,16
ENG116953-ENG116198-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion A 17,Standlicht allgemein (Schlusslicht: Positionslicht: Begrenzungslicht) ,16
ENG116953-ENG116569-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion B 17,Parklicht links (beidseitiges Parklicht aktiviert li & re) ,16
ENG116953-ENG116202-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion C 17,not active ,16
ENG116953-ENG116203-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion D 17,not active ,16
ENG116953-ENG116206-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion E 17,not active ,16
ENG116953-ENG116207-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion F 17,not active ,16
ENG116953-ENG116210-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion G 17,not active ,16
ENG116953-ENG116211-Leuchte17TFL R BLK SRB3TFL R BLK SR KC3-Lichtfunktion H 17,not active ,16
ENG116954-ENG116224-Leuchte18BLK HLA60-Dimming Direction CD 18,maximize ,16
ENG116954-ENG116228-Leuchte18BLK HLA60-Dimming Direction EF 18,maximize ,16
ENG116954-ENG116232-Leuchte18BLK HLA60-Dimming Direction GH 18,maximize ,16
ENG116954-ENG116219-Leuchte18BLK HLA60-Dimmwert AB 18,127 ,16
ENG116954-ENG116223-Leuchte18BLK HLA60-Dimmwert CD 18,0 ,16
ENG116954-ENG116227-Leuchte18BLK HLA60-Dimmwert EF 18,0 ,16
ENG116954-ENG116231-Leuchte18BLK HLA60-Dimmwert GH 18,0 ,16
ENG116954-ENG116216-Leuchte18BLK HLA60-Fehlerort mittleres Byte DTC-DFCC 18,16 ,16
ENG116954-ENG116570-Leuchte18BLK HLA60-Lampendefektbitposition 18,08 ,16
ENG116954-ENG116214-Leuchte18BLK HLA60-Lasttyp 18,38 - LED Blinkleuchten ,16
ENG116954-ENG116220-Leuchte18BLK HLA60-Lichtansteuerung HD AB 18,Always ,16
ENG116954-ENG116217-Leuchte18BLK HLA60-Lichtfunktion A 18,Blinken links Hellphase ,16
ENG116954-ENG116218-Leuchte18BLK HLA60-Lichtfunktion B 18,not active ,16
ENG116954-ENG116221-Leuchte18BLK HLA60-Lichtfunktion C 18,not active ,16
ENG116954-ENG116222-Leuchte18BLK HLA60-Lichtfunktion D 18,not active ,16
ENG116954-ENG116225-Leuchte18BLK HLA60-Lichtfunktion E 18,not active ,16
ENG116954-ENG116226-Leuchte18BLK HLA60-Lichtfunktion F 18,not active ,16
ENG116954-ENG116229-Leuchte18BLK HLA60-Lichtfunktion G 18,not active ,16
ENG116954-ENG116230-Leuchte18BLK HLA60-Lichtfunktion H 18,not active ,16
ENG116955-ENG116243-Leuchte19BLK HRC31-Dimming Direction CD 19,maximize ,16
ENG116955-ENG116247-Leuchte19BLK HRC31-Dimming Direction EF 19,maximize ,16
ENG116955-ENG116251-Leuchte19BLK HRC31-Dimming Direction GH 19,maximize ,16
ENG116955-ENG116238-Leuchte19BLK HRC31-Dimmwert AB 19,127 ,16
ENG116955-ENG116242-Leuchte19BLK HRC31-Dimmwert CD 19,0 ,16
ENG116955-ENG116246-Leuchte19BLK HRC31-Dimmwert EF 19,0 ,16
ENG116955-ENG116250-Leuchte19BLK HRC31-Dimmwert GH 19,0 ,16
ENG116955-ENG116235-Leuchte19BLK HRC31-Fehlerort mittleres Byte DTC-DFCC 19,18 ,16
ENG116955-ENG116571-Leuchte19BLK HRC31-Lampendefektbitposition 19,18 ,16
ENG116955-ENG116233-Leuchte19BLK HRC31-Lasttyp 19,38 - LED Blinkleuchten ,16
ENG116955-ENG116239-Leuchte19BLK HRC31-Lichtansteuerung HD AB 19,Always ,16
ENG116955-ENG116236-Leuchte19BLK HRC31-Lichtfunktion A 19,Blinken rechts Hellphase ,16
ENG116955-ENG116237-Leuchte19BLK HRC31-Lichtfunktion B 19,not active ,16
ENG116955-ENG116240-Leuchte19BLK HRC31-Lichtfunktion C 19,not active ,16
ENG116955-ENG116241-Leuchte19BLK HRC31-Lichtfunktion D 19,not active ,16
ENG116955-ENG116244-Leuchte19BLK HRC31-Lichtfunktion E 19,not active ,16
ENG116955-ENG116245-Leuchte19BLK HRC31-Lichtfunktion F 19,not active ,16
ENG116955-ENG116248-Leuchte19BLK HRC31-Lichtfunktion G 19,not active ,16
ENG116955-ENG116249-Leuchte19BLK HRC31-Lichtfunktion H 19,not active ,16
ENG116937-ENG115902-Leuchte1BLK VRB20-Dimming Direction CD 1,maximize ,16
ENG116937-ENG115906-Leuchte1BLK VRB20-Dimming Direction EF 1,maximize ,16
ENG116937-ENG115909-Leuchte1BLK VRB20-Dimming Direction GH 1,maximize ,16
ENG116937-ENG115897-Leuchte1BLK VRB20-Dimmwert AB 1,0 ,16
ENG116937-ENG115901-Leuchte1BLK VRB20-Dimmwert CD 1,0 ,16
ENG116937-ENG115905-Leuchte1BLK VRB20-Dimmwert EF 1,0 ,16
ENG116937-ENG115908-Leuchte1BLK VRB20-Dimmwert GH 1,0 ,16
ENG116937-ENG115894-Leuchte1BLK VRB20-Fehlerort mittleres Byte DTC-DFCC 1,00 ,16
ENG116937-ENG116548-Leuchte1BLK VRB20-Lampendefektbitposition 1,00 ,16
ENG116937-ENG115892-Leuchte1BLK VRB20-Lasttyp 1,not active ,16
ENG116937-ENG115898-Leuchte1BLK VRB20-Lichtansteuerung HD AB 1,Always ,16
ENG116937-ENG115895-Leuchte1BLK VRB20-Lichtfunktion A 1,not active ,16
ENG116937-ENG115896-Leuchte1BLK VRB20-Lichtfunktion B 1,not active ,16
ENG116937-ENG115899-Leuchte1BLK VRB20-Lichtfunktion C 1,not active ,16
ENG116937-ENG115900-Leuchte1BLK VRB20-Lichtfunktion D 1,not active ,16
ENG116937-ENG115903-Leuchte1BLK VRB20-Lichtfunktion E 1,not active ,16
ENG116937-ENG115904-Leuchte1BLK VRB20-Lichtfunktion F 1,not active ,16
ENG116937-ENG115907-Leuchte1BLK VRB20-Lichtfunktion G 1,not active ,16
ENG116937-ENG116549-Leuchte1BLK VRB20-Lichtfunktion H 1,not active ,16
ENG116956-ENG116262-Leuchte20BR LA71-Dimming Direction CD 20,maximize ,16
ENG116956-ENG116266-Leuchte20BR LA71-Dimming Direction EF 20,maximize ,16
ENG116956-ENG116270-Leuchte20BR LA71-Dimming Direction GH 20,maximize ,16
ENG116956-ENG116257-Leuchte20BR LA71-Dimmwert AB 20,127 ,16
ENG116956-ENG116261-Leuchte20BR LA71-Dimmwert CD 20,0 ,16
ENG116956-ENG116265-Leuchte20BR LA71-Dimmwert EF 20,0 ,16
ENG116956-ENG116269-Leuchte20BR LA71-Dimmwert GH 20,0 ,16
ENG116956-ENG116254-Leuchte20BR LA71-Fehlerort mittleres Byte DTC-DFCC 20,2B ,16
ENG116956-ENG116572-Leuchte20BR LA71-Lampendefektbitposition 20,09 ,16
ENG116956-ENG116252-Leuchte20BR LA71-Lasttyp 20,43 - allgemeine LED ,16
ENG116956-ENG116258-Leuchte20BR LA71-Lichtansteuerung HD AB 20,Always ,16
ENG116956-ENG116255-Leuchte20BR LA71-Lichtfunktion A 20,Brake lamp ,16
ENG116956-ENG116256-Leuchte20BR LA71-Lichtfunktion B 20,not active ,16
ENG116956-ENG116259-Leuchte20BR LA71-Lichtfunktion C 20,not active ,16
ENG116956-ENG116260-Leuchte20BR LA71-Lichtfunktion D 20,not active ,16
ENG116956-ENG116263-Leuchte20BR LA71-Lichtfunktion E 20,not active ,16
ENG116956-ENG116264-Leuchte20BR LA71-Lichtfunktion F 20,not active ,16
ENG116956-ENG116267-Leuchte20BR LA71-Lichtfunktion G 20,not active ,16
ENG116956-ENG116268-Leuchte20BR LA71-Lichtfunktion H 20,not active ,16
ENG116957-ENG116281-Leuchte21BR RC8-Dimming Direction CD 21,maximize ,16
ENG116957-ENG116285-Leuchte21BR RC8-Dimming Direction EF 21,maximize ,16
ENG116957-ENG116289-Leuchte21BR RC8-Dimming Direction GH 21,maximize ,16
ENG116957-ENG116276-Leuchte21BR RC8-Dimmwert AB 21,127 ,16
ENG116957-ENG116280-Leuchte21BR RC8-Dimmwert CD 21,0 ,16
ENG116957-ENG116284-Leuchte21BR RC8-Dimmwert EF 21,0 ,16
ENG116957-ENG116288-Leuchte21BR RC8-Dimmwert GH 21,0 ,16
ENG116957-ENG116273-Leuchte21BR RC8-Fehlerort mittleres Byte DTC-DFCC 21,2D ,16
ENG116957-ENG116573-Leuchte21BR RC8-Lampendefektbitposition 21,19 ,16
ENG116957-ENG116271-Leuchte21BR RC8-Lasttyp 21,43 - allgemeine LED ,16
ENG116957-ENG116277-Leuchte21BR RC8-Lichtansteuerung HD AB 21,Always ,16
ENG116957-ENG116274-Leuchte21BR RC8-Lichtfunktion A 21,Brake lamp ,16
ENG116957-ENG116275-Leuchte21BR RC8-Lichtfunktion B 21,not active ,16
ENG116957-ENG116278-Leuchte21BR RC8-Lichtfunktion C 21,not active ,16
ENG116957-ENG116279-Leuchte21BR RC8-Lichtfunktion D 21,not active ,16
ENG116957-ENG116282-Leuchte21BR RC8-Lichtfunktion E 21,not active ,16
ENG116957-ENG116283-Leuchte21BR RC8-Lichtfunktion F 21,not active ,16
ENG116957-ENG116286-Leuchte21BR RC8-Lichtfunktion G 21,not active ,16
ENG116957-ENG116287-Leuchte21BR RC8-Lichtfunktion H 21,not active ,16
ENG116958-ENG116300-Leuchte22BR MA57-Dimming Direction CD 22,maximize ,16
ENG116958-ENG116304-Leuchte22BR MA57-Dimming Direction EF 22,maximize ,16
ENG116958-ENG116308-Leuchte22BR MA57-Dimming Direction GH 22,maximize ,16
ENG116958-ENG116295-Leuchte22BR MA57-Dimmwert AB 22,127 ,16
ENG116958-ENG116299-Leuchte22BR MA57-Dimmwert CD 22,0 ,16
ENG116958-ENG116303-Leuchte22BR MA57-Dimmwert EF 22,0 ,16
ENG116958-ENG116307-Leuchte22BR MA57-Dimmwert GH 22,0 ,16
ENG116958-ENG116292-Leuchte22BR MA57-Fehlerort mittleres Byte DTC-DFCC 22,2C ,16
ENG116958-ENG116574-Leuchte22BR MA57-Lampendefektbitposition 22,29 ,16
ENG116958-ENG116290-Leuchte22BR MA57-Lasttyp 22,42 - LED dritte Bremsleuchte ,16
ENG116958-ENG116296-Leuchte22BR MA57-Lichtansteuerung HD AB 22,Always ,16
ENG116958-ENG116293-Leuchte22BR MA57-Lichtfunktion A 22,Brake lamp ,16
ENG116958-ENG116294-Leuchte22BR MA57-Lichtfunktion B 22,Quittierungsfunktion 1 ,16
ENG116958-ENG116297-Leuchte22BR MA57-Lichtfunktion C 22,not active ,16
ENG116958-ENG116298-Leuchte22BR MA57-Lichtfunktion D 22,not active ,16
ENG116958-ENG116301-Leuchte22BR MA57-Lichtfunktion E 22,not active ,16
ENG116958-ENG116302-Leuchte22BR MA57-Lichtfunktion F 22,not active ,16
ENG116958-ENG116305-Leuchte22BR MA57-Lichtfunktion G 22,not active ,16
ENG116958-ENG116306-Leuchte22BR MA57-Lichtfunktion H 22,not active ,16
ENG116959-ENG116319-Leuchte23SL HLC10-Dimming Direction CD 23,maximize ,16
ENG116959-ENG116323-Leuchte23SL HLC10-Dimming Direction EF 23,maximize ,16
ENG116959-ENG116327-Leuchte23SL HLC10-Dimming Direction GH 23,maximize ,16
ENG116959-ENG116314-Leuchte23SL HLC10-Dimmwert AB 23,127 ,16
ENG116959-ENG116318-Leuchte23SL HLC10-Dimmwert CD 23,0 ,16
ENG116959-ENG116322-Leuchte23SL HLC10-Dimmwert EF 23,0 ,16
ENG116959-ENG116326-Leuchte23SL HLC10-Dimmwert GH 23,0 ,16
