;SW:5NA-035-020-D   HW:5NA-035-020 ---  Information Electr.
;Component:MU-H-ND-EU    H54 1367, Coding:02738001FF0000004111010100880A231F0105D4012005009E
IDE11502-ENG127611-Locked menu contents-FB_CAR_10,non_blocked ,21
IDE11502-ENG127612-Locked menu contents-FB_CAR_11,non_blocked ,21
IDE11502-ENG127613-Locked menu contents-FB_CAR_12,non_blocked ,21
IDE11502-ENG127614-Locked menu contents-FB_CAR_13,non_blocked ,21
IDE11502-ENG127615-Locked menu contents-FB_CAR_14,non_blocked ,21
IDE11502-ENG127616-Locked menu contents-FB_CAR_15,non_blocked ,21
IDE11502-ENG127617-Locked menu contents-FB_CAR_16,non_blocked ,21
IDE11502-ENG127618-Locked menu contents-FB_CAR_17,non_blocked ,21
IDE11502-ENG127619-Locked menu contents-FB_CAR_18,non_blocked ,21
IDE11502-ENG127620-Locked menu contents-FB_CAR_19,non_blocked ,21
IDE11502-ENG127603-Locked menu contents-FB_CAR_2,non_blocked ,21
IDE11502-ENG127621-Locked menu contents-FB_CAR_20,non_blocked ,21
IDE11502-ENG127622-Locked menu contents-FB_CAR_21,non_blocked ,21
IDE11502-ENG127623-Locked menu contents-FB_CAR_22,non_blocked ,21
IDE11502-ENG127624-Locked menu contents-FB_CAR_23,non_blocked ,21
IDE11502-ENG127604-Locked menu contents-FB_CAR_3,non_blocked ,21
IDE11502-ENG127605-Locked menu contents-FB_CAR_4,non_blocked ,21
IDE11502-ENG127606-Locked menu contents-FB_CAR_5,non_blocked ,21
IDE11502-ENG127607-Locked menu contents-FB_CAR_6,non_blocked ,21
IDE11502-ENG127608-Locked menu contents-FB_CAR_7,non_blocked ,21
IDE11502-ENG127609-Locked menu contents-FB_CAR_8,non_blocked ,21
IDE11502-ENG127610-Locked menu contents-FB_CAR_9,non_blocked ,21
IDE11502-ENG127521-Locked menu contents-FB_MEDIA_0,non_blocked ,21
IDE11502-ENG127522-Locked menu contents-FB_MEDIA_1,non_blocked ,21
IDE11502-ENG127531-Locked menu contents-FB_MEDIA_10,non_blocked ,21
IDE11502-ENG127532-Locked menu contents-FB_MEDIA_11,non_blocked ,21
IDE11502-ENG127533-Locked menu contents-FB_MEDIA_12,non_blocked ,21
IDE11502-ENG127534-Locked menu contents-FB_MEDIA_13,non_blocked ,21
IDE11502-ENG127535-Locked menu contents-FB_MEDIA_14,non_blocked ,21
IDE11502-ENG127536-Locked menu contents-FB_MEDIA_15,non_blocked ,21
IDE11502-ENG127537-Locked menu contents-FB_MEDIA_16,non_blocked ,21
IDE11502-ENG127538-Locked menu contents-FB_MEDIA_17,non_blocked ,21
IDE11502-ENG127539-Locked menu contents-FB_MEDIA_18,non_blocked ,21
IDE11502-ENG127540-Locked menu contents-FB_MEDIA_19,non_blocked ,21
IDE11502-ENG127523-Locked menu contents-FB_MEDIA_2,non_blocked ,21
IDE11502-ENG127541-Locked menu contents-FB_MEDIA_20,non_blocked ,21
IDE11502-ENG127542-Locked menu contents-FB_MEDIA_21,non_blocked ,21
IDE11502-ENG127543-Locked menu contents-FB_MEDIA_22,non_blocked ,21
IDE11502-ENG127544-Locked menu contents-FB_MEDIA_23,non_blocked ,21
IDE11502-ENG127524-Locked menu contents-FB_MEDIA_3,non_blocked ,21
IDE11502-ENG127525-Locked menu contents-FB_MEDIA_4,non_blocked ,21
IDE11502-ENG127526-Locked menu contents-FB_MEDIA_5,non_blocked ,21
IDE11502-ENG127527-Locked menu contents-FB_MEDIA_6,non_blocked ,21
IDE11502-ENG127528-Locked menu contents-FB_MEDIA_7,non_blocked ,21
IDE11502-ENG127529-Locked menu contents-FB_MEDIA_8,non_blocked ,21
IDE11502-ENG127530-Locked menu contents-FB_MEDIA_9,non_blocked ,21
IDE11502-ENG127625-Locked menu contents-FB_MISC_0,non_blocked ,21
IDE11502-ENG127626-Locked menu contents-FB_MISC_1,non_blocked ,21
IDE11502-ENG127635-Locked menu contents-FB_MISC_10,non_blocked ,21
IDE11502-ENG127636-Locked menu contents-FB_MISC_11,non_blocked ,21
IDE11502-ENG127637-Locked menu contents-FB_MISC_12,non_blocked ,21
IDE11502-ENG127638-Locked menu contents-FB_MISC_13,non_blocked ,21
IDE11502-ENG127639-Locked menu contents-FB_MISC_14,non_blocked ,21
IDE11502-ENG127640-Locked menu contents-FB_MISC_15,non_blocked ,21
IDE11502-ENG127641-Locked menu contents-FB_MISC_16,non_blocked ,21
IDE11502-ENG127642-Locked menu contents-FB_MISC_17,non_blocked ,21
IDE11502-ENG127643-Locked menu contents-FB_MISC_18,non_blocked ,21
IDE11502-ENG127644-Locked menu contents-FB_MISC_19,non_blocked ,21
IDE11502-ENG127627-Locked menu contents-FB_MISC_2,non_blocked ,21
IDE11502-ENG127645-Locked menu contents-FB_MISC_20,non_blocked ,21
IDE11502-ENG127646-Locked menu contents-FB_MISC_21,non_blocked ,21
IDE11502-ENG127647-Locked menu contents-FB_MISC_22,non_blocked ,21
IDE11502-ENG127648-Locked menu contents-FB_MISC_23,non_blocked ,21
IDE11502-ENG127649-Locked menu contents-FB_MISC_24,non_blocked ,21
IDE11502-ENG127650-Locked menu contents-FB_MISC_25,non_blocked ,21
IDE11502-ENG127651-Locked menu contents-FB_MISC_26,non_blocked ,21
IDE11502-ENG127652-Locked menu contents-FB_MISC_27,non_blocked ,21
IDE11502-ENG127653-Locked menu contents-FB_MISC_28,non_blocked ,21
IDE11502-ENG127654-Locked menu contents-FB_MISC_29,non_blocked ,21
IDE11502-ENG127628-Locked menu contents-FB_MISC_3,non_blocked ,21
IDE11502-ENG127655-Locked menu contents-FB_MISC_30,non_blocked ,21
IDE11502-ENG127656-Locked menu contents-FB_MISC_31,non_blocked ,21
IDE11502-ENG127657-Locked menu contents-FB_MISC_32,non_blocked ,21
IDE11502-ENG127658-Locked menu contents-FB_MISC_33,non_blocked ,21
IDE11502-ENG127659-Locked menu contents-FB_MISC_34,non_blocked ,21
IDE11502-ENG127660-Locked menu contents-FB_MISC_35,non_blocked ,21
IDE11502-ENG127661-Locked menu contents-FB_MISC_36,non_blocked ,21
IDE11502-ENG127662-Locked menu contents-FB_MISC_37,non_blocked ,21
IDE11502-ENG127663-Locked menu contents-FB_MISC_38,non_blocked ,21
IDE11502-ENG127664-Locked menu contents-FB_MISC_39,non_blocked ,21
IDE11502-ENG127629-Locked menu contents-FB_MISC_4,non_blocked ,21
IDE11502-ENG127665-Locked menu contents-FB_MISC_40,non_blocked ,21
IDE11502-ENG127666-Locked menu contents-FB_MISC_41,non_blocked ,21
IDE11502-ENG127667-Locked menu contents-FB_MISC_42,non_blocked ,21
IDE11502-ENG127668-Locked menu contents-FB_MISC_43,non_blocked ,21
IDE11502-ENG127669-Locked menu contents-FB_MISC_44,non_blocked ,21
IDE11502-ENG127670-Locked menu contents-FB_MISC_45,non_blocked ,21
IDE11502-ENG127671-Locked menu contents-FB_MISC_46,non_blocked ,21
IDE11502-ENG127672-Locked menu contents-FB_MISC_47,non_blocked ,21
IDE11502-ENG127630-Locked menu contents-FB_MISC_5,non_blocked ,21
IDE11502-ENG127631-Locked menu contents-FB_MISC_6,non_blocked ,21
IDE11502-ENG127632-Locked menu contents-FB_MISC_7,non_blocked ,21
IDE11502-ENG127633-Locked menu contents-FB_MISC_8,non_blocked ,21
IDE11502-ENG127634-Locked menu contents-FB_MISC_9,non_blocked ,21
IDE11502-ENG127561-Locked menu contents-FB_NAV_0,non_blocked ,21
IDE11502-ENG127562-Locked menu contents-FB_NAV_1,non_blocked ,21
IDE11502-ENG127571-Locked menu contents-FB_NAV_10,non_blocked ,21
IDE11502-ENG127572-Locked menu contents-FB_NAV_11,non_blocked ,21
IDE11502-ENG127573-Locked menu contents-FB_NAV_12,non_blocked ,21
IDE11502-ENG127574-Locked menu contents-FB_NAV_13,non_blocked ,21
IDE11502-ENG127575-Locked menu contents-FB_NAV_14,non_blocked ,21
IDE11502-ENG127576-Locked menu contents-FB_NAV_15,non_blocked ,21
IDE11502-ENG127577-Locked menu contents-FB_NAV_16,non_blocked ,21
IDE11502-ENG127578-Locked menu contents-FB_NAV_17,non_blocked ,21
IDE11502-ENG127579-Locked menu contents-FB_NAV_18,non_blocked ,21
IDE11502-ENG127580-Locked menu contents-FB_NAV_19,non_blocked ,21
IDE11502-ENG127563-Locked menu contents-FB_NAV_2,non_blocked ,21
IDE11502-ENG127581-Locked menu contents-FB_NAV_20,non_blocked ,21
IDE11502-ENG127582-Locked menu contents-FB_NAV_21,non_blocked ,21
IDE11502-ENG127583-Locked menu contents-FB_NAV_22,non_blocked ,21
IDE11502-ENG127584-Locked menu contents-FB_NAV_23,non_blocked ,21
IDE11502-ENG127585-Locked menu contents-FB_NAV_24,non_blocked ,21
IDE11502-ENG127586-Locked menu contents-FB_NAV_25,non_blocked ,21
IDE11502-ENG127587-Locked menu contents-FB_NAV_26,non_blocked ,21
IDE11502-ENG127588-Locked menu contents-FB_NAV_27,non_blocked ,21
IDE11502-ENG127589-Locked menu contents-FB_NAV_28,non_blocked ,21
IDE11502-ENG127590-Locked menu contents-FB_NAV_29,non_blocked ,21
IDE11502-ENG127564-Locked menu contents-FB_NAV_3,non_blocked ,21
IDE11502-ENG127591-Locked menu contents-FB_NAV_30,non_blocked ,21
IDE11502-ENG127592-Locked menu contents-FB_NAV_31,non_blocked ,21
IDE11502-ENG127593-Locked menu contents-FB_NAV_32,non_blocked ,21
IDE11502-ENG127594-Locked menu contents-FB_NAV_33,non_blocked ,21
IDE11502-ENG127595-Locked menu contents-FB_NAV_34,non_blocked ,21
IDE11502-ENG127596-Locked menu contents-FB_NAV_35,non_blocked ,21
IDE11502-ENG127597-Locked menu contents-FB_NAV_36,non_blocked ,21
IDE11502-ENG127598-Locked menu contents-FB_NAV_37,non_blocked ,21
IDE11502-ENG127599-Locked menu contents-FB_NAV_38,non_blocked ,21
IDE11502-ENG127600-Locked menu contents-FB_NAV_39,non_blocked ,21
IDE11502-ENG127565-Locked menu contents-FB_NAV_4,non_blocked ,21
IDE11502-ENG127566-Locked menu contents-FB_NAV_5,non_blocked ,21
IDE11502-ENG127567-Locked menu contents-FB_NAV_6,non_blocked ,21
IDE11502-ENG127568-Locked menu contents-FB_NAV_7,non_blocked ,21
IDE11502-ENG127569-Locked menu contents-FB_NAV_8,non_blocked ,21
IDE11502-ENG127570-Locked menu contents-FB_NAV_9,non_blocked ,21
IDE11502-ENG127545-Locked menu contents-FB_PHONE_0,non_blocked ,21
IDE11502-ENG127546-Locked menu contents-FB_PHONE_1,non_blocked ,21
IDE11502-ENG127555-Locked menu contents-FB_PHONE_10,non_blocked ,21
IDE11502-ENG127556-Locked menu contents-FB_PHONE_11,non_blocked ,21
IDE11502-ENG127557-Locked menu contents-FB_PHONE_12,non_blocked ,21
IDE11502-ENG127558-Locked menu contents-FB_PHONE_13,non_blocked ,21
IDE11502-ENG127559-Locked menu contents-FB_PHONE_14,non_blocked ,21
IDE11502-ENG127560-Locked menu contents-FB_PHONE_15,non_blocked ,21
IDE11502-ENG127547-Locked menu contents-FB_PHONE_2,non_blocked ,21
IDE11502-ENG127548-Locked menu contents-FB_PHONE_3,non_blocked ,21
IDE11502-ENG127549-Locked menu contents-FB_PHONE_4,non_blocked ,21
IDE11502-ENG127550-Locked menu contents-FB_PHONE_5,non_blocked ,21
IDE11502-ENG127551-Locked menu contents-FB_PHONE_6,non_blocked ,21
IDE11502-ENG127552-Locked menu contents-FB_PHONE_7,non_blocked ,21
IDE11502-ENG127553-Locked menu contents-FB_PHONE_8,non_blocked ,21
IDE11502-ENG127554-Locked menu contents-FB_PHONE_9,non_blocked ,21
IDE11502-ENG127505-Locked menu contents-FB_TUNER_0,non_blocked ,21
IDE11502-ENG127506-Locked menu contents-FB_TUNER_1,non_blocked ,21
IDE11502-ENG127515-Locked menu contents-FB_TUNER_10,non_blocked ,21
IDE11502-ENG127516-Locked menu contents-FB_TUNER_11,non_blocked ,21
IDE11502-ENG127517-Locked menu contents-FB_TUNER_12,non_blocked ,21
IDE11502-ENG127518-Locked menu contents-FB_TUNER_13,non_blocked ,21
IDE11502-ENG127519-Locked menu contents-FB_TUNER_14,non_blocked ,21
IDE11502-ENG127520-Locked menu contents-FB_TUNER_15,non_blocked ,21
IDE11502-ENG127507-Locked menu contents-FB_TUNER_2,non_blocked ,21
IDE11502-ENG127508-Locked menu contents-FB_TUNER_3,non_blocked ,21
IDE11502-ENG127509-Locked menu contents-FB_TUNER_4,non_blocked ,21
IDE11502-ENG127510-Locked menu contents-FB_TUNER_5,non_blocked ,21
IDE11502-ENG127511-Locked menu contents-FB_TUNER_6,non_blocked ,21
IDE11502-ENG127512-Locked menu contents-FB_TUNER_7,non_blocked ,21
IDE11502-ENG127513-Locked menu contents-FB_TUNER_8,non_blocked ,21
IDE11502-ENG127514-Locked menu contents-FB_TUNER_9,non_blocked ,21
IDE11524-ENG249835-Vehicle function list BAP 2nd generation: expansion-chassis_control_0x57,not activated ,192
IDE11524-ENG249836-Vehicle function list BAP 2nd generation: expansion-chassis_control_0x57_msg_bus,not activated ,192
IDE11524-ENG142156-Vehicle function list BAP 2nd generation: expansion-climate_mastet_0x42,not activated ,192
IDE11524-ENG142157-Vehicle function list BAP 2nd generation: expansion-climate_mastet_0x42_msg_bus,not activated ,192
IDE11524-ENG142158-Vehicle function list BAP 2nd generation: expansion-connection_manager_0x47,not activated ,192
IDE11524-ENG142159-Vehicle function list BAP 2nd generation: expansion-connection_manager_0x47_msg_bus,not activated ,192
IDE11524-ENG249837-Vehicle function list BAP 2nd generation: expansion-convertibleTop_0x6C,not activated ,192
IDE11524-ENG249838-Vehicle function list BAP 2nd generation: expansion-convertibleTop_0x6C_msg_bus,not activated ,192
IDE11524-ENG152529-Vehicle function list BAP 2nd generation: expansion-daf_profile_0x51,not activated ,192
IDE11524-ENG152530-Vehicle function list BAP 2nd generation: expansion-daf_profile_0x51_msg_bus,not activated ,192
IDE11524-ENG137043-Vehicle function list BAP 2nd generation: expansion-display_configuration_0x45,not activated ,192
IDE11524-ENG137044-Vehicle function list BAP 2nd generation: expansion-display_configuration_0x45_msg_bus,not activated ,192
IDE11524-ENG185772-Vehicle function list BAP 2nd generation: expansion-engine_functions_0x5D,not activated ,192
IDE11524-ENG185773-Vehicle function list BAP 2nd generation: expansion-engine_functions_0x5D_msg_bus,not activated ,192
IDE11524-ENG142168-Vehicle function list BAP 2nd generation: expansion-fas_profile_0x4D,not activated ,192
IDE11524-ENG142169-Vehicle function list BAP 2nd generation: expansion-fas_profile_0x4D_msg_bus,not activated ,192
IDE11524-ENG142154-Vehicle function list BAP 2nd generation: expansion-front_traffic_assist_0x41,not activated ,192
IDE11524-ENG142155-Vehicle function list BAP 2nd generation: expansion-front_traffic_assist_0x41_msg_bus,not activated ,192
IDE11524-ENG152535-Vehicle function list BAP 2nd generation: expansion-infotainmentsettings_profile_0x50,not activated ,192
IDE11524-ENG152536-Vehicle function list BAP 2nd generation: expansion-infotainmentsettings_profile_0x50_msg_bus,not activated ,192
IDE11524-ENG248719-Vehicle function list BAP 2nd generation: expansion-ITM_0x65,not activated ,192
IDE11524-ENG248720-Vehicle function list BAP 2nd generation: expansion-ITM_0x65_msg_bus,not activated ,192
IDE11524-ENG249902-Vehicle function list BAP 2nd generation: expansion-lift_0x64,not activated ,192
IDE11524-ENG249903-Vehicle function list BAP 2nd generation: expansion-lift_0x64_msg_bus,not activated ,192
IDE11524-ENG185787-Vehicle function list BAP 2nd generation: expansion-mascot_0x83,not activated ,192
IDE11524-ENG185788-Vehicle function list BAP 2nd generation: expansion-mascot_0x83_msg_bus,not activated ,192
IDE11524-ENG152569-Vehicle function list BAP 2nd generation: expansion-remote_services_profile_0x4E,not activated ,192
IDE11524-ENG152570-Vehicle function list BAP 2nd generation: expansion-remote_services_profile_0x4E_msg_bus,not activated ,192
IDE11524-ENG139202-Vehicle function list BAP 2nd generation: expansion-Soundcontrol_0x44,not activated ,192
IDE11524-ENG139203-Vehicle function list BAP 2nd generation: expansion-Soundcontrol_0x44_msg_bus,not activated ,192
IDE11524-ENG127678-Vehicle function list BAP 2nd generation: expansion-spoiler_0x40,not activated ,192
IDE11524-ENG127679-Vehicle function list BAP 2nd generation: expansion-spoiler_0x40_msg_bus,not activated ,192
IDE11524-ENG142162-Vehicle function list BAP 2nd generation: expansion-statistic_0x4A,not activated ,192
IDE11524-ENG142163-Vehicle function list BAP 2nd generation: expansion-statistic_0x4A_msg_bus,not activated ,192
IDE11524-ENG142164-Vehicle function list BAP 2nd generation: expansion-sunroof_front_0x4B,not activated ,192
IDE11524-ENG142165-Vehicle function list BAP 2nd generation: expansion-sunroof_front_0x4B_msg_bus,not activated ,192
IDE11524-ENG142166-Vehicle function list BAP 2nd generation: expansion-sunroof_rear_0x4C,not activated ,192
IDE11524-ENG142167-Vehicle function list BAP 2nd generation: expansion-sunroof_rear_0x4C_msg_bus,not activated ,192
IDE11524-ENG185817-Vehicle function list BAP 2nd generation: expansion-vas_0x54,not activated ,192
IDE11524-ENG185818-Vehicle function list BAP 2nd generation: expansion-vas_0x54_msg_bus,not activated ,192
IDE11524-ENG142160-Vehicle function list BAP 2nd generation: expansion-wireless_charging_0x48,not activated ,192
IDE11524-ENG142161-Vehicle function list BAP 2nd generation: expansion-wireless_charging_0x48_msg_bus,not activated ,192
IDE11638-Bluetooth Audio Codec,FF ,1
IDE12353-Configuration of traffic light online functions,On ,1
IDE12434-ENG249906-Vehicle menu operation: second generation: extension-menu_chassis_control,not activated ,60
IDE12434-ENG249907-Vehicle menu operation: second generation: extension-menu_chassis_control_after_disclaimer,not activated ,60
IDE12434-ENG249908-Vehicle menu operation: second generation: extension-menu_chassis_control_clamp_15_off,not activated ,60
IDE12434-ENG249909-Vehicle menu operation: second generation: extension-menu_chassis_control_over_threshold_high,not activated ,60
IDE12434-ENG249910-Vehicle menu operation: second generation: extension-menu_chassis_control_stillstand,not activated ,60
IDE12434-ENG152495-Vehicle menu operation: second generation: extension-menu_connection_manager,not activated ,60
IDE12434-ENG152499-Vehicle menu operation: second generation: extension-menu_connection_manager_after_disclaimer,not activated ,60
IDE12434-ENG152496-Vehicle menu operation: second generation: extension-menu_connection_manager_clamp_15_off,not activated ,60
IDE12434-ENG152497-Vehicle menu operation: second generation: extension-menu_connection_manager_over_threshold_high,not activated ,60
IDE12434-ENG152498-Vehicle menu operation: second generation: extension-menu_connection_manager_standstill,not activated ,60
IDE12434-ENG249911-Vehicle menu operation: second generation: extension-menu_convertible_top,not activated ,60
IDE12434-ENG249912-Vehicle menu operation: second generation: extension-menu_convertible_top_after_disclaimer,not activated ,60
IDE12434-ENG249913-Vehicle menu operation: second generation: extension-menu_convertible_top_clamp_15_off,not activated ,60
IDE12434-ENG249914-Vehicle menu operation: second generation: extension-menu_convertible_top_over_threshold_high,not activated ,60
IDE12434-ENG249915-Vehicle menu operation: second generation: extension-menu_convertible_top_stillstand,not activated ,60
IDE12434-ENG152548-Vehicle menu operation: second generation: extension-menu_daf_profile,not activated ,60
IDE12434-ENG152549-Vehicle menu operation: second generation: extension-menu_daf_profile_after_disclaimer,not activated ,60
IDE12434-ENG152550-Vehicle menu operation: second generation: extension-menu_daf_profile_clamp_15_off,not activated ,60
IDE12434-ENG152551-Vehicle menu operation: second generation: extension-menu_daf_profile_over_threshold_high,not activated ,60
IDE12434-ENG152552-Vehicle menu operation: second generation: extension-menu_daf_profile_stillstand,not activated ,60
IDE12434-ENG185793-Vehicle menu operation: second generation: extension-menu_engine_functions,not activated ,60
IDE12434-ENG185794-Vehicle menu operation: second generation: extension-menu_engine_functions_after_disclaimer,not activated ,60
IDE12434-ENG185795-Vehicle menu operation: second generation: extension-menu_engine_functions_clamp_15_off,not activated ,60
IDE12434-ENG185796-Vehicle menu operation: second generation: extension-menu_engine_functions_over_threshold_high,not activated ,60
IDE12434-ENG185797-Vehicle menu operation: second generation: extension-menu_engine_functions_stillstand,not activated ,60
IDE12434-ENG152515-Vehicle menu operation: second generation: extension-menu_fas_profile,not activated ,60
IDE12434-ENG152519-Vehicle menu operation: second generation: extension-menu_fas_profile_after_disclaimer,not activated ,60
IDE12434-ENG152516-Vehicle menu operation: second generation: extension-menu_fas_profile_clamp_15_off,not activated ,60
IDE12434-ENG152517-Vehicle menu operation: second generation: extension-menu_fas_profile_over_threshold_high,not activated ,60
IDE12434-ENG152518-Vehicle menu operation: second generation: extension-menu_fas_profile_standstill,not activated ,60
IDE12434-ENG185798-Vehicle menu operation: second generation: extension-menu_fod,not activated ,60
IDE12434-ENG185799-Vehicle menu operation: second generation: extension-menu_fod_after_disclaimer,not activated ,60
IDE12434-ENG185800-Vehicle menu operation: second generation: extension-menu_fod_clamp_15_off,not activated ,60
IDE12434-ENG185801-Vehicle menu operation: second generation: extension-menu_fod_over_threshold_high,not activated ,60
IDE12434-ENG185802-Vehicle menu operation: second generation: extension-menu_fod_stillstand,not activated ,60
IDE12434-ENG248744-Vehicle menu operation: second generation: extension-menu_ITM,not activated ,60
IDE12434-ENG248745-Vehicle menu operation: second generation: extension-menu_ITM_after_disclaimer,not activated ,60
IDE12434-ENG248746-Vehicle menu operation: second generation: extension-menu_ITM_clamp_15_off,not activated ,60
IDE12434-ENG248747-Vehicle menu operation: second generation: extension-menu_ITM_over_threshold_high,not activated ,60
IDE12434-ENG248748-Vehicle menu operation: second generation: extension-menu_ITM_stillstand,not activated ,60
IDE12434-ENG249916-Vehicle menu operation: second generation: extension-menu_lift,not activated ,60
IDE12434-ENG249917-Vehicle menu operation: second generation: extension-menu_lift_after_disclaimer,not activated ,60
IDE12434-ENG249918-Vehicle menu operation: second generation: extension-menu_lift_clamp_15_off,not activated ,60
IDE12434-ENG249919-Vehicle menu operation: second generation: extension-menu_lift_over_threshold_high,not activated ,60
IDE12434-ENG249920-Vehicle menu operation: second generation: extension-menu_lift_stillstand,not activated ,60
IDE12434-ENG184478-Vehicle menu operation: second generation: extension-menu_mascot,not activated ,60
IDE12434-ENG184479-Vehicle menu operation: second generation: extension-menu_mascot_after_disclaimer,not activated ,60
IDE12434-ENG184480-Vehicle menu operation: second generation: extension-menu_mascot_clamp_15_off,not activated ,60
IDE12434-ENG184481-Vehicle menu operation: second generation: extension-menu_mascot_over_threshold_high,not activated ,60
IDE12434-ENG184482-Vehicle menu operation: second generation: extension-menu_mascot_stillstand,not activated ,60
IDE12434-ENG152562-Vehicle menu operation: second generation: extension-menu_mobile_device_key_profile,not activated ,60
IDE12434-ENG152563-Vehicle menu operation: second generation: extension-menu_mobile_device_key_profile_after_disclaimer,not activated ,60
IDE12434-ENG152564-Vehicle menu operation: second generation: extension-menu_mobile_device_key_profile_clamp_15_off,not activated ,60
IDE12434-ENG152565-Vehicle menu operation: second generation: extension-menu_mobile_device_key_profile_over_threshold_high,not activated ,60
IDE12434-ENG152566-Vehicle menu operation: second generation: extension-menu_mobile_device_key_profile_stillstand,not activated ,60
IDE12434-ENG152505-Vehicle menu operation: second generation: extension-menu_statistic,not activated ,60
IDE12434-ENG152509-Vehicle menu operation: second generation: extension-menu_statistic_after_disclaimer,not activated ,60
IDE12434-ENG152506-Vehicle menu operation: second generation: extension-menu_statistic_clamp_15_off,not activated ,60
IDE12434-ENG152507-Vehicle menu operation: second generation: extension-menu_statistic_over_threshold_high,not activated ,60
IDE12434-ENG152508-Vehicle menu operation: second generation: extension-menu_statistic_standstill,not activated ,60
IDE12434-ENG152510-Vehicle menu operation: second generation: extension-menu_sunroof,not activated ,60
IDE12434-ENG152514-Vehicle menu operation: second generation: extension-menu_sunroof_after_disclaimer,not activated ,60
IDE12434-ENG152511-Vehicle menu operation: second generation: extension-menu_sunroof_clamp_15_off,not activated ,60
IDE12434-ENG152512-Vehicle menu operation: second generation: extension-menu_sunroof_over_threshold_high,not activated ,60
IDE12434-ENG152513-Vehicle menu operation: second generation: extension-menu_sunroof_standstill,not activated ,60
IDE12434-ENG185803-Vehicle menu operation: second generation: extension-menu_vas,not activated ,60
IDE12434-ENG185804-Vehicle menu operation: second generation: extension-menu_vas_after_disclaimer,not activated ,60
IDE12434-ENG185805-Vehicle menu operation: second generation: extension-menu_vas_clamp_15_off,not activated ,60
IDE12434-ENG185806-Vehicle menu operation: second generation: extension-menu_vas_over_threshold_high,not activated ,60
IDE12434-ENG185807-Vehicle menu operation: second generation: extension-menu_vas_stillstand,not activated ,60
IDE12434-ENG152500-Vehicle menu operation: second generation: extension-menu_wireless_charging,not activated ,60
IDE12434-ENG152504-Vehicle menu operation: second generation: extension-menu_wireless_charging_after_disclaimer,not activated ,60
IDE12434-ENG152501-Vehicle menu operation: second generation: extension-menu_wireless_charging_clamp_15_off,not activated ,60
IDE12434-ENG152502-Vehicle menu operation: second generation: extension-menu_wireless_charging_over_threshold_high,not activated ,60
IDE12434-ENG152503-Vehicle menu operation: second generation: extension-menu_wireless_charging_standstill,not activated ,60
IDE13183-Deactivation/activation of the pop-up for active tracking services,00 00 00 00 ,4
MAS00951-Bluetooth,On ,1
MAS02809-MAS02870-Check tone frequency-High note frequency range,4000 Hz,6
MAS02809-MAS02871-Check tone frequency-Medium note frequency range,1000 Hz,6
MAS02809-MAS02872-Check tone frequency-Low note frequency range,100 Hz,6
MAS03782-WLAN,On ,1
ENG126140-ENG117811-Audio_Management_Audio_Delay_Lines_Gen2-Amplifier_Delay_On_Off,OFF ,12
ENG126140-ENG117813-Audio_Management_Audio_Delay_Lines_Gen2-Amplifier_Delay_Time,0.00 ms,12
ENG126140-ENG126188-Audio_Management_Audio_Delay_Lines_Gen2-Headphone_Delay_On_Off,OFF ,12
ENG126140-ENG126189-Audio_Management_Audio_Delay_Lines_Gen2-Headphone_Delay_Time,0.00 ms,12
ENG126140-ENG126190-Audio_Management_Audio_Delay_Lines_Gen2-Headphone_wireless_Delay_On_Off,OFF ,12
ENG126140-ENG126191-Audio_Management_Audio_Delay_Lines_Gen2-Headphone_wireless_Delay_Time,0.00 ms,12
ENG126140-ENG117810-Audio_Management_Audio_Delay_Lines_Gen2-Main_Unit_Delay_On_Off,OFF ,12
ENG126140-ENG117812-Audio_Management_Audio_Delay_Lines_Gen2-Main_Unit_Delay_Time,0.00 ms,12
ENG117920-Audio_Managment_Soundset_Menu,OFF ,1
ENG117917-BAP_Debug_Mode_Release,not_released ,1
ENG122227-ENG125811-Car_Function_Adaptations_Gen2-menu_auxiliary_climatization,not activated ,60
ENG122227-ENG125814-Car_Function_Adaptations_Gen2-menu_auxiliary_climatization_after_disclaimer,not activated ,60
ENG122227-ENG126995-Car_Function_Adaptations_Gen2-menu_auxiliary_climatization_clamp_15_off,not activated ,60
ENG122227-ENG125812-Car_Function_Adaptations_Gen2-menu_auxiliary_climatization_over_threshold_high,not activated ,60
ENG122227-ENG125813-Car_Function_Adaptations_Gen2-menu_auxiliary_climatization_standstill,not activated ,60
ENG122227-ENG152538-Car_Function_Adaptations_Gen2-menu_auxiliary_ventilation,not activated ,60
ENG122227-ENG152539-Car_Function_Adaptations_Gen2-menu_auxiliary_ventilation_after_disclaimer,not activated ,60
ENG122227-ENG152540-Car_Function_Adaptations_Gen2-menu_auxiliary_ventilation_clamp_15_off,not activated ,60
ENG122227-ENG152541-Car_Function_Adaptations_Gen2-menu_auxiliary_ventilation_over_threshold_high,not activated ,60
ENG122227-ENG152542-Car_Function_Adaptations_Gen2-menu_auxiliary_ventilation_standstill,not activated ,60
ENG122227-ENG152543-Car_Function_Adaptations_Gen2-menu_crossroad_assistent,not activated ,60
ENG122227-ENG152544-Car_Function_Adaptations_Gen2-menu_crossroad_assistent_after_disclaimer,not activated ,60
ENG122227-ENG152545-Car_Function_Adaptations_Gen2-menu_crossroad_assistent_clamp_15_off,not activated ,60
